AvgSize	FinalAR	FinalMajorAxis	FinalMinorAxis
13.3355191256831	2.03834808259587	19.7428571428571	9.68571428571429
13.947868852459	2.29090909090909	21.6	9.42857142857143
14.4771272443404	1.93092105263158	16.7714285714286	8.68571428571429
17.8190163934426	2.14525139664804	21.9428571428571	10.2285714285714
14.2380327868852	2.49494949494949	21.1714285714286	8.48571428571429
15.2365126676602	1.96317280453258	19.8	10.0857142857143
14.4754098360656	2.09640666082384	17.0857142857143	8.15
15.5067064083458	1.89516129032258	20.1428571428571	10.6285714285714
12.5786885245902	1.76240601503759	16.7428571428571	9.5
17.7130183220829	2.3899217221135	27.9142857142857	11.68
14.9302107728337	2.30790190735695	24.2	10.4857142857143
12.4685073339085	1.97173144876325	15.9428571428571	8.08571428571429
16.4983606557377	2.14430379746835	24.2	11.2857142857143
16.1380906460945	2.37948717948718	26.5142857142857	11.1428571428571
14.985737704918	2.15258855585831	22.5714285714286	10.4857142857143
13.9875097580016	2.26747720364742	21.3142857142857	9.4
14.2123341139735	2.29745042492918	23.1714285714286	10.0857142857143
9.13713471133286	2.13296398891967	22	10.3142857142857
16.852131147541	2.18333333333333	18.7142857142857	8.57142857142857
15.7381967213115	2.24675324675325	24.7142857142857	11
16.1122950819672	2.16076294277929	22.6571428571429	10.4857142857143
14.3522950819672	1.89645776566757	19.8857142857143	10.4857142857143
14.175800156128	1.93602693602694	16.4285714285714	8.48571428571429
13.8517138599106	1.94943820224719	19.8285714285714	10.1714285714286
17.5133489461358	2.01699716713881	20.3428571428571	10.0857142857143
17.2091803278689	2.23544303797468	25.2285714285714	11.2857142857143
17.067868852459	2.1	24	11.4285714285714
13.7482312338223	1.76369863013699	14.7142857142857	8.34285714285714
15.0587183308495	1.97668393782383	21.8	11.0285714285714
15.4403278688525	2.23448275862069	18.5142857142857	8.28571428571429
16.3883606557377	2.26224783861671	22.4285714285714	9.91428571428571
15.9611241217799	2.56232686980609	26.4285714285714	10.3142857142857
14.3944069431051	2.64723926380368	24.6571428571429	9.31428571428571
14.4323397913562	2.05449591280654	21.5428571428571	10.4857142857143
