Conc_ugperml	Area_um2	DiameterA_um	Volume_um3	DiameterV_um	Deformation	
0	177.21481	15.021215	1352.1446	13.719602	0.075662076
0	155.13521	14.054333	1115.0538	12.86567	0.084084749
0	194.84381	15.750646	1603.6327	14.522301	0.075107574
0	188.02341	15.472519	1557.3881	14.381342	0.05938077
0	112.76781	11.982505	680.91684	10.915203	0.067773581
0	164.20981	14.459544	1254.3448	13.380513	0.072297156
0	174.0936	14.888346	1398.289	13.873928	0.056555092
0	146.40741	13.653267	1040.5927	12.572666	0.066213191
0	152.30301	13.925452	1066.2588	12.675196	0.084969997
0	134.7896	13.10036	966.36022	12.266297	0.052090526
0	186.8674	15.424881	1563.4304	14.399917	0.073138654
0	127.85361	12.758851	860.43207	11.800652	0.058753192
0	141.03201	13.400281	1008.2928	12.441212	0.05506587
0	148.77721	13.763322	1084.2871	12.746234	0.067819595
0	117.21841	12.216673	756.48048	11.304891	0.055810988
0	170.22099	14.721824	1317.2764	13.600643	0.056516469
0	159.7014	14.259668	1241.0616	13.333113	0.062196136
0	135.83	13.150822	942.75644	12.165603	0.060792089
0	168.08241	14.629052	1284.3608	13.486403	0.063255608
0	157.2738	14.150874	1167.1412	13.06296	0.073675513
0	156.7536	14.127451	1110.827	12.849393	0.085720778
0	125.8306	12.657507	847.54069	11.741421	0.053425848
0	167.04201	14.583706	1203.9621	13.19891	0.079209805
0	167.38881	14.598837	1227.7917	13.285422	0.08124274
0	180.3938	15.155346	1441.0685	14.013996	0.070371509
0	130.45461	12.887977	887.30922	11.922266	0.06883651
0	123.28741	12.528943	798.36249	11.509784	0.057580888
0	86.122002	10.471578	538.40489	10.093384	0.016594231
0	190.3354	15.567356	1439.6817	14.0095	0.077371538
0	183.515	15.285894	1478.8585	14.13544	0.074922562
0	190.0464	15.555533	1577.4923	14.44296	0.064567745
0	173.8046	14.875983	1325.3127	13.628244	0.080640137
0	108.2594	11.740534	663.98695	10.82398	0.061006784
0	164.73	14.482429	1289.692	13.505038	0.058639646
0	153.6324	13.986095	1150.7428	13.001493	0.056623518
0	150.0488	13.822014	1045.387	12.591945	0.090397775
0	126.9288	12.712622	854.4975	11.773459	0.068544745
0	168.48701	14.646649	1227.9559	13.286014	0.087692261
0	132.0152	12.964836	818.98914	11.608065	0.075678825
0	148.71941	13.760648	1077.6505	12.720175	0.071084321
0	183.39941	15.281079	1469.1817	14.104541	0.08345145
0	103.173	11.461411	633.54458	10.655967	0.052190483
0	139.298	13.317647	938.2288	12.146096	0.06968683
0	124.27	12.578771	822.92261	11.626619	0.063939512
0	212.01041	16.429852	1792.8297	15.072321	0.058080196
0	125.3104	12.631317	856.76836	11.783879	0.062368572
0	229.23482	17.084228	1971.1052	15.556208	0.087491035
0	161.08861	14.321466	1146.7216	12.986331	0.073552668
0	137.73741	13.242837	970.92532	12.285582	0.05896306
0	100.68761	11.322519	697.89526	11.005181	0.011427045
0	121.43781	12.434606	806.31668	11.547882	0.054201365
0	193.052	15.678056	1638.1919	14.625881	0.053205132
0	156.8114	14.130056	1130.2058	12.923683	0.10204148
0	152.9966	13.957124	1136.7415	12.948547	0.066076338
0	158.7766	14.218321	1198.0253	13.177179	0.065098345
0	152.9388	13.954488	1122.507	12.894271	0.070205212
0	179.9892	15.138341	1453.164	14.053096	0.066747427
0	161.08861	14.321466	1249.1447	13.361997	0.048065484
0	120.80201	12.402012	786.13094	11.450701	0.063769162
0	132.073	12.967674	841.66771	11.714237	0.079765141
0	128.9518	12.813529	885.44774	11.913922	0.047458649
0	168.48701	14.646649	1286.4164	13.493594	0.071293592
0	164.67221	14.479888	1260.0946	13.400927	0.069093883
0	137.6796	13.240057	913.33528	12.03771	0.080790401
0	190.3354	15.567356	1532.1377	14.303195	0.073002279
0	173.9202	14.88093	1369.6316	13.778493	0.073492885
0	214.90041	16.541454	1845.3634	15.218123	0.081711233
0	188.9482	15.510523	1460.8548	14.077844	0.077164233
0	153.22781	13.967667	1100.9017	12.811008	0.066859126
0	143.5752	13.520563	1016.3891	12.474423	0.059712768
0	124.27	12.578771	839.98305	11.706416	0.050088763
0	152.881	13.95185	1123.2664	12.897179	0.061032414
0	126.00401	12.666226	839.89512	11.706008	0.055299878
0	235.4772	17.315279	1955.1764	15.51419	0.11852586
0	150.3956	13.837978	1205.8648	13.205859	0.040660381
0	126.5242	12.692345	861.64074	11.806175	0.066816211
0	189.1216	15.517638	1506.716	14.223646	0.077193975
0	152.53421	13.936018	1133.4741	12.936129	0.068806231
0	119.1258	12.315668	778.63336	11.414182	0.080271363
0	208.94699	16.31072	1692.1872	14.784839	0.10018742
0	186.11601	15.393839	1540.6066	14.3295	0.061080039
0	199.93021	15.954907	1634.4559	14.614755	0.087847471
0	138.4888	13.278909	972.94084	12.294077	0.054594636
0	125.715	12.651692	825.44041	11.638465	0.0634709
0	142.99721	13.493321	1003.7636	12.422555	0.084733605
0	211.0278	16.391734	1812.5661	15.127428	0.076716006
0	119.1836	12.318656	780.13416	11.421511	0.064524412
0	194.7282	15.745972	1541.4453	14.3321	0.088991106
0	162.2446	14.37276	1200.1373	13.184918	0.089764953
0	154.96181	14.046476	1129.8462	12.922312	0.04871434
0	155.48201	14.070034	1184.8451	13.128678	0.067171574
0	170.79901	14.746798	1304.1781	13.555413	0.067635417
0	194.15021	15.722586	1598.6388	14.507211	0.07376188
0	144.6734	13.572174	987.62186	12.355605	0.077061355
0	165.4814	14.515422	1287.1983	13.496328	0.070802033
0	146.5808	13.661349	1031.3514	12.535337	0.10914612
0	146.7542	13.669427	1011.7255	12.455314	0.078983128
0	127.16	12.724195	855.77471	11.779322	0.051195979
0	148.257	13.739239	1035.6638	12.552784	0.071545839
0	194.95941	15.755318	1623.0401	14.58065	0.079864025
0	107.797	11.715435	664.74129	10.828077	0.074469626
0	165.9438	14.535687	1281.9264	13.477877	0.070539773
0	176.57899	14.994244	1346.5201	13.700552	0.088808239
0	144.6734	13.572174	1037.544	12.560376	0.053162634
0	195.3062	15.769324	1539.7164	14.32674	0.089734077
0	145.4248	13.607373	1028.0623	12.521997	0.076053798
0	193.1676	15.682749	1596.8887	14.501915	0.062683642
0	127.9114	12.761734	858.96703	11.79395	0.064995944
0	119.2414	12.321642	777.90345	11.410614	0.062203288
0	163.92081	14.446815	1238.8545	13.325205	0.065333784
0	128.66281	12.799163	843.96148	11.724869	0.077566028
0	127.56461	12.744422	819.1968	11.609046	0.05978483
0	126.871	12.709728	856.99671	11.784926	0.063206971
0	114.3862	12.068183	744.67391	11.245769	0.049652874
0	235.99739	17.334394	2145.5447	16.002198	0.079112291
0	161.08861	14.321466	1187.2194	13.137441	0.076247156
0	152.9388	13.954488	1169.7788	13.072793	0.052997172
0	165.59702	14.520491	1277.9369	13.463881	0.062327147
0	147.7946	13.717796	1056.894	12.637978	0.080841184
0	222.06761	16.815031	1867.1856	15.277875	0.087580025
0	160.68401	14.303469	1165.4372	13.0566	0.066256642
0	156.2334	14.10399	1157.765	13.027886	0.066649377
0	155.6554	14.077876	1157.3255	13.026237	0.059961081
0	156.06	14.096161	1163.8445	13.050649	0.062140584
0	111.32281	11.905486	715.69153	11.097941	0.050722659
0	143.92201	13.536883	1042.312	12.579587	0.054769576
0	170.10541	14.716825	1271.0624	13.439695	0.091052771
0	143.9798	13.5396	1011.7417	12.455381	0.073077679
0	140.74301	13.386544	1008.6213	12.442563	0.069053173
0	117.7386	12.243751	778.20424	11.412085	0.046067655
0	112.2476	11.954835	719.75607	11.118911	0.060784996
0	201.2596	16.007863	1642.8536	14.639742	0.097146034
0	154.326	14.017631	1125.0365	12.90395	0.079673409
0	136.0034	13.159214	964.16049	12.256983	0.060768664
0	162.7648	14.395783	1232.4614	13.302244	0.066479325
0	174.4982	14.905637	1318.267	13.604051	0.089153111
0	147.5056	13.704378	1016.2384	12.473806	0.084528685
0	119.1836	12.318656	790.77886	11.473224	0.057047069
0	124.2122	12.575846	827.6039	11.648624	0.054938972
0	119.7616	12.34849	763.01466	11.337347	0.061617076
0	136.0034	13.159214	906.56	12.00787	0.083310008
0	163.74741	14.439171	1314.4869	13.591036	0.065433264
0	162.18681	14.370201	1217.501	13.248201	0.064026237
0	124.55901	12.593389	863.55758	11.814923	0.0349316
0	115.1954	12.110795	716.80468	11.103692	0.052990735
0	148.54601	13.752623	1037.2403	12.55915	0.061109066
0	162.01341	14.362517	1197.4033	13.174899	0.070859969
0	120.6864	12.396076	815.36279	11.590907	0.050434768
0	188.31239	15.484405	1577.275	14.442297	0.064074636
0	151.436	13.885759	1108.1518	12.839069	0.080278814
0	161.60881	14.344571	1242.8613	13.339555	0.059565961
0	178.60201	15.079892	1419.2296	13.942843	0.061433613
0	212.81961	16.461177	1861.8878	15.263412	0.068228543
0	130.91701	12.910798	882.31916	11.899874	0.052533269
0	176.29001	14.98197	1272.1465	13.443515	0.088115931
0	156.4646	14.114422	1209.1705	13.217915	0.070106983
0	161.7244	14.3497	1200.1371	13.184917	0.077301204
0	131.09039	12.919345	901.40461	11.985065	0.056452692
0	137.6218	13.237277	967.51874	12.271197	0.070360124
0	131.26381	12.927887	905.89303	12.004924	0.053856671
0	168.19801	14.634082	1300.0592	13.541128	0.061518848
0	148.83501	13.765995	951.59574	12.203506	0.13513124
0	162.30241	14.375321	1190.945	13.151169	0.094113708
0	110.28241	11.849723	698.60096	11.00889	0.055287957
0	140.62741	13.381046	944.82338	12.174487	0.094595313
0	123.5186	12.540684	803.07454	11.532384	0.075594544
0	137.9686	13.253946	950.62519	12.199356	0.064488053
0	125.8306	12.657507	803.34393	11.533673	0.064410567
0	124.3856	12.58462	812.49512	11.577302	0.051202476
0	148.1992	13.73656	1072.1838	12.69863	0.060408711
0	165.3658	14.510351	1306.5387	13.563587	0.058555961
0	132.0152	12.964836	882.22996	11.899473	0.074759245
0	143.5752	13.520563	985.96126	12.348676	0.065725386
0	180.8562	15.174758	1430.1091	13.97838	0.073643982
0	171.08801	14.759269	1334.0994	13.658296	0.056926072
0	121.2066	12.422763	770.88239	11.376181	0.055975974
0	138.14201	13.262273	989.57009	12.363724	0.052915633
0	169.98981	14.711823	1337.4614	13.66976	0.059672892
0	136.0612	13.16201	949.02312	12.192499	0.05894351
0	201.20181	16.005565	1725.2673	14.880559	0.070457935
0	141.4944	13.42223	975.67283	12.305574	0.06962651
0	116.8138	12.195571	700.62011	11.019486	0.09090966
0	175.0184	14.927838	1413.035	13.922528	0.076470017
0	156.638	14.122241	1157.7817	13.027948	0.068069339
0	159.5858	14.254506	1201.4192	13.189611	0.065650165
0	128.8362	12.807784	901.10715	11.983746	0.052116275
0	134.03821	13.063795	942.83367	12.165935	0.055093765
0	205.2478	16.165693	1665.0652	14.705424	0.10753787
0	200.73941	15.987162	1664.8919	14.704913	0.082292914
0	157.216	14.148273	1196.0523	13.169942	0.067381442
0	98.028801	11.172025	574.20965	10.312342	0.050244629
0	125.7728	12.6546	846.37774	11.736048	0.06198281
0	254.32001	17.99473	2341.4203	16.475057	0.086348236
0	109.82	11.824854	691.28822	10.970342	0.057770193
0	133.80701	13.052524	886.64958	11.91931	0.065396011
0	163.1694	14.413665	1149.6345	12.997317	0.10536033
0	130.62801	12.89654	900.06913	11.979143	0.05656445
0	152.36079	13.928093	1109.7341	12.845177	0.058542371
0	195.42181	15.773991	1656.4012	14.679873	0.060685456
0	197.7916	15.869344	1751.8858	14.956698	0.057009697
0	129.472	12.839349	875.74415	11.870241	0.056057513
0	152.24521	13.922809	1102.2206	12.816122	0.068878889
0	148.71941	13.760648	1091.3492	12.773847	0.068613172
0	129.6454	12.847943	858.75237	11.792968	0.071543932
0	99.531601	11.257334	563.92154	10.250381	0.076195538
0	142.53481	13.471487	1001.7898	12.414408	0.058386505
0	119.646	12.342529	769.50135	11.369384	0.057324231
0	146.9854	13.680191	1042.4493	12.580139	0.07364881
0	158.42981	14.202785	1204.742	13.201759	0.063429892
0	161.03081	14.318896	1172.1668	13.081682	0.088074088
0	155.25079	14.059568	1111.9189	12.853601	0.077845573
0	215.07381	16.548126	1913.6436	15.40355	0.069771767
0	145.078	13.591139	1002.4257	12.417034	0.099782944
0	191.54921	15.616915	1511.9402	14.240066	0.087401688
0	191.60699	15.61927	1517.1099	14.256277	0.10338652
0	131.03261	12.916497	872.91889	11.857462	0.083118737
0	164.9612	14.492588	1249.3803	13.362837	0.061953604
0	114.6752	12.083418	771.69941	11.380199	0.028994322
0	163.0538	14.408558	1268.4118	13.430346	0.0665887
0	120.6864	12.396076	814.24234	11.585595	0.053545535
0	117.62301	12.237739	741.81281	11.231348	0.064119697
0	153.9792	14.001872	1086.5781	12.755205	0.09243995
0	208.1378	16.279106	1622.0538	14.577696	0.10668105
0	157.90961	14.179448	1217.5003	13.248198	0.058447957
0	143.45959	13.515119	1061.9803	12.658219	0.04782325
0	139.64481	13.334215	969.08352	12.277809	0.076008976
0	177.5616	15.035905	1452.7028	14.051609	0.066302598
0	132.2464	12.976184	875.57144	11.869461	0.063344657
0	158.661	14.213144	1124.6337	12.90241	0.071021914
0	176.05881	14.972142	1391.3094	13.850806	0.090077937
0	124.7902	12.605071	805.24502	11.542764	0.056309164
0	200.39261	15.973346	1652.2635	14.66764	0.092357814
0	149.5864	13.8007	1107.7654	12.837577	0.066019177
0	174.0358	14.885874	1345.4035	13.696764	0.074281991
0	130.45461	12.887977	877.64999	11.878846	0.050019085
0	168.08241	14.629052	1304.876	13.557831	0.067123294
0	175.0762	14.930303	1377.6903	13.805464	0.064711332
0	175.71199	14.957388	1386.3425	13.834304	0.058323026
0	153.2856	13.9703	1148.1613	12.991763	0.055223346
0	161.84	14.354828	1193.9342	13.162163	0.071524024
0	170.56781	14.736814	1338.7296	13.674079	0.06585449
0	126.9288	12.712622	833.65186	11.676931	0.050079882
0	149.8754	13.814025	1046.438	12.596164	0.079536736
0	156.927	14.135263	1082.4338	12.738968	0.087833643
0	176.7524	15.001605	1351.2068	13.716429	0.07121706
0	130.51241	12.890832	911.29628	12.028745	0.050158918
0	129.2986	12.830748	900.14867	11.979496	0.057502568
0	127.3334	12.732868	858.06821	11.789835	0.065190554
0	112.999	11.994782	701.86101	11.025988	0.055436373
0	364.37122	21.539077	3834.12	19.418799	0.099138916
0	136.3502	13.175981	937.759	12.144068	0.060010016
0	132.8244	13.00451	900.60071	11.981501	0.057861626
0	146.23401	13.645179	1068.2428	12.683052	0.051055312
0	129.8188	12.856533	904.99873	12.000973	0.054872632
0	108.8952	11.77496	671.07424	10.862355	0.045053244
0	175.71199	14.957388	1465.1505	14.091629	0.049568355
0	155.19301	14.056951	1143.0495	12.972454	0.07116878
0	171.666	14.784179	1375.9673	13.799706	0.059561074
