Conc_ugperml	Area_um2	DiameterA_um	Volume_um3	DiameterV_um	Deformation	
0	124.27	12.578771	834.99487	11.683198	0.06678611
0	169.2962	14.681779	1326.0373	13.630728	0.081657827
0	156.2912	14.106599	1140.6876	12.963513	0.096284747
0	132.7666	13.00168	947.23777	12.184848	0.045123219
0	108.375	11.746801	680.89857	10.915105	0.057531357
0	205.30562	16.167969	1650.9274	14.663685	0.10617745
0	150.569	13.845953	1076.4486	12.715445	0.081223249
0	145.65601	13.618186	1033.4611	12.543879	0.089208245
0	166.464	14.558453	1223.8766	13.271286	0.083910465
0	164.61441	14.477347	1236.6186	13.317184	0.087823808
0	160.395	14.2906	1218.5972	13.252176	0.069206178
0	160.395	14.2906	1194.8861	13.16566	0.061278701
0	179.00659	15.096962	1545.4527	14.344509	0.052318513
0	144.5578	13.56675	1012.6	12.458902	0.065322995
0	111.6696	11.924016	735.08838	11.197309	0.056234837
0	126.7554	12.703936	832.66126	11.672304	0.062049031
0	133.1712	13.021476	941.96934	12.162216	0.067241311
0	134.7318	13.097551	913.52483	12.038543	0.07703501
0	175.71199	14.957388	1346.3114	13.699844	0.078950346
0	100.6298	11.319268	616.1019	10.557262	0.057138801
0	131.03261	12.916497	873.33596	11.859351	0.086958289
0	182.7636	15.254568	1379.8975	13.812832	0.092033625
0	171.8394	14.791644	1301.9967	13.547851	0.060519278
0	153.8636	13.996615	1126.4308	12.909278	0.058923364
0	193.68779	15.703852	1597.9154	14.505022	0.081175685
0	139.009	13.303825	1009.7406	12.447163	0.055896878
0	116.1202	12.159311	788.33057	11.461371	0.039757133
0	133.51801	13.03842	866.45243	11.82811	0.075685382
0	131.8996	12.959158	843.69847	11.723651	0.071035802
0	186.1738	15.396228	1582.5787	14.458466	0.047314286
0	172.244	14.809047	1305.539	13.560126	0.088775635
0	126.58201	12.695244	854.77162	11.774717	0.056680918
0	117.91201	12.252764	780.71652	11.424352	0.062622964
0	114.32841	12.065134	719.40428	11.117099	0.074771702
0	222.06761	16.815031	2026.3359	15.700167	0.070703685
0	160.97301	14.316326	1203.4663	13.197098	0.064526081
0	177.3304	15.026113	1373.0225	13.789854	0.082422435
0	161.26201	14.329172	1167.0812	13.062736	0.090112507
0	156.00221	14.093551	1087.407	12.758448	0.073493004
0	125.426	12.637142	855.35421	11.777392	0.07109046
0	149.35519	13.79003	1113.709	12.860496	0.07197684
0	130.85921	12.907948	893.05115	11.947927	0.066547692
0	150.28	13.832658	1096.9987	12.795851	0.059000909
0	148.83501	13.765995	1089.1765	12.765364	0.057340443
0	148.4882	13.749947	1086.6193	12.755366	0.092562735
0	149.991	13.819351	1082.0828	12.737591	0.064614534
0	159.1234	14.23384	1176.4181	13.097478	0.079678893
0	156.6958	14.124847	1171.0602	13.077564	0.075863421
0	144.6734	13.572174	1049.5706	12.60872	0.05407393
0	176.6946	14.999152	1383.738	13.825635	0.086634219
0	167.96681	14.624021	1284.6965	13.487578	0.082500756
0	168.6604	14.654183	1278.6641	13.466434	0.075826347
0	186.694	15.417723	1445.088	14.027014	0.076859295
0	107.1034	11.677683	667.44936	10.842761	0.041368783
