Conc_ugperml	Area_um2	DiameterA_um	Volume_um3	DiameterV_um	Deformation	
0	155.01961	14.049096	1115.4945	12.867365	0.067099452
0	206.80841	16.227034	1692.8251	14.786696	0.093694508
0	115.1954	12.110795	725.71268	11.149499	0.061541677
0	151.3782	13.883109	1062.3201	12.659569	0.068728983
0	137.85301	13.248393	981.78834	12.331231	0.073175192
0	157.4472	14.158673	1079.8094	12.728664	0.095361888
0	201.433	16.014758	1660.7819	14.692803	0.085927427
0	189.7574	15.543701	1617.9472	14.565383	0.061806381
0	160.56841	14.298323	1189.6307	13.14633	0.05955863
0	148.257	13.739239	1088.3492	12.762132	0.055833876
0	104.04	11.509468	728.42378	11.163366	0.010045469
0	128.4894	12.790535	888.58216	11.927964	0.058784187
0	116.17801	12.162337	679.60778	10.908204	0.071785033
0	215.9408	16.581446	1716.6578	14.855765	0.10845703
0	123.5186	12.540684	811.33317	11.571781	0.070416033
0	146.46519	13.655961	919.87106	12.066355	0.086434364
0	119.1258	12.315668	801.33138	11.524033	0.05365634
0	122.4782	12.487758	774.84825	11.395656	0.076514661
0	134.15381	13.069427	912.06064	12.032107	0.069226146
0	166.2906	14.550868	1244.7963	13.346474	0.094356537
0	125.426	12.637142	782.29913	11.432067	0.079624712
0	175.13399	14.932767	1333.2548	13.655413	0.088840485
0	152.881	13.95185	1067.6882	12.680857	0.081217349
0	145.1936	13.596552	972.15958	12.290786	0.080168784
0	186.2316	15.398618	1503.4099	14.213235	0.090629876
0	129.4142	12.836482	858.94999	11.793872	0.062913954
0	273.68301	18.667191	2583.4583	17.024235	0.10485709
0	116.17801	12.162337	776.71607	11.404806	0.047218919
0	176.00101	14.969684	1359.7454	13.745261	0.084451377
0	139.93381	13.348006	1014.8036	12.467933	0.053969383
0	162.9382	14.40345	1250.0722	13.365303	0.051332891
0	174.55602	14.908106	1378.5378	13.808294	0.070167601
0	128.9518	12.813529	863.72888	11.815704	0.06634146
0	145.367	13.604669	970.15432	12.282329	0.080540299
0	183.45721	15.283487	1379.5258	13.811592	0.079853833
0	143.17059	13.501498	996.26549	12.391546	0.081424534
0	151.60941	13.893707	1132.5699	12.932688	0.057700753
0	169.4118	14.68679	1292.2201	13.513856	0.065658808
0	125.25261	12.628404	766.45467	11.354359	0.089343429
0	118.95241	12.306702	763.13721	11.337953	0.069130898
0	152.07181	13.914878	1078.9095	12.725127	0.098779142
0	158.08301	14.187231	1155.6502	13.019948	0.077685416
0	136.408	13.178773	937.63295	12.143524	0.057417154
0	158.14079	14.189824	1081.344	12.734691	0.10396302
0	126.69761	12.70104	828.54164	11.653022	0.069998205
0	161.14639	14.324034	1214.2632	13.236446	0.050350487
0	121.091	12.416837	811.28813	11.571567	0.053792715
0	128.08481	12.770381	815.38784	11.591026	0.080611587
0	136.119	13.164805	954.44162	12.215659	0.054681122
0	130.80139	12.905096	899.50446	11.976637	0.064677179
0	188.42801	15.489157	1570.8356	14.422616	0.079871058
0	189.17941	15.52001	1555.4459	14.375361	0.067462623
0	196.98239	15.836848	1637.0178	14.622387	0.084822178
0	137.04381	13.209451	935.30036	12.133446	0.074964046
0	136.52361	13.184356	910.65423	12.02592	0.074584424
0	118.3166	12.273768	761.60561	11.330363	0.065809906
0	131.6106	12.944953	917.10394	12.054244	0.057996571
0	106.2942	11.633485	623.78049	10.60094	0.062112749
0	139.47141	13.325934	929.85475	12.109852	0.073180854
0	153.748	13.991356	1137.6284	12.951913	0.068426251
0	138.6622	13.287219	899.61995	11.97715	0.082919955
0	107.8548	11.718575	652.73149	10.762471	0.061323702
0	139.2402	13.314884	964.05715	12.256545	0.064245343
0	152.70761	13.943937	1112.5611	12.856076	0.070279241
0	216.86562	16.616915	1856.2745	15.248058	0.075134158
0	151.0892	13.86985	1020.0333	12.489314	0.085304916
0	117.2762	12.219685	734.04275	11.191997	0.078605592
0	124.84801	12.60799	822.89625	11.626495	0.056483626
