"term","estimate","std.error","statistic","p.value","Method","m","b"
"I(Osm - 1)",-0.66630982653819,0.0352462531636494,-18.9044158380323,2.27674657247096e-12,"SMR",-0.66630982653819,1.66630982653819
"I(Osm - 1)",-0.536443895133769,0.0158378827799451,-33.8709348078422,1.87823299831289e-18,"RTDC",-0.536443895133769,1.53644389513377
"I(Osm - 1)",-0.317959793941555,0.01380272718031,-23.0360123610307,2.40454946622173e-15,"DC",-0.317959793941555,1.31795979394156
