"term","estimate","std.error","statistic","p.value","Method"
"b",1.2055658195536,0.0698430270684677,17.2610763043213,9.14753532801707e-12,"SMR"
"b",0.780336303605135,0.0430073545694179,18.1442525683741,1.85554027996194e-13,"RTDC"
"b",0.397381274600833,0.0165467921391166,24.0156080562241,1.11754618098681e-15,"DC"
