"","SMR","RTDC","DC"
"Linear",-21.7198008254177,-52.2855392800111,-57.7870800868193
"Power",-40.5981985602563,-34.4413600382099,-80.1388692685192
"Exponential",-39.4070521723912,-44.8700396096369,-67.6751381110941
