"term","estimate","std.error","statistic","p.value","Method"
"b",-1.66396777871351,0.0895514090332183,-18.581145698068,2.96643132226281e-12,"SMR"
"b",-1.09452874295767,0.0766759720209067,-14.2747292810221,1.31177662262393e-11,"RTDC"
"b",-0.576350432125886,0.0173417063526705,-33.2349320421479,2.67726850709297e-18,"DC"
