Osm_mOsm  	FrequencyShift_Hz	Volume_um^3	DiameterV_um	PassageTime_s	Deformability_inverseSec
200.0000  	29.0053   	1096.1093 	12.7924   	0.0271    	36.8937   
200.0000  	36.1938   	1367.7646 	13.7722   	0.0399    	25.0336   
200.0000  	28.9226   	1092.9833 	12.7802   	0.0223    	44.7551   
200.0000  	25.1739   	951.3233  	12.2023   	0.0206    	48.4344   
200.0000  	32.3212   	1221.4178 	13.2624   	0.0295    	33.9245   
200.0000  	31.9941   	1209.0588 	13.2175   	0.0255    	39.2067   
200.0000  	39.5284   	1493.7766 	14.1828   	0.0489    	20.4383   
200.0000  	42.1541   	1593.0021 	14.4901   	0.0502    	19.9155   
200.0000  	39.2810   	1484.4286 	14.1532   	0.0490    	20.4165   
200.0000  	32.9546   	1245.3545 	13.3485   	0.0275    	36.3575   
200.0000  	35.3995   	1337.7475 	13.6707   	0.0380    	26.3272   
200.0000  	40.9202   	1546.3725 	14.3474   	0.0492    	20.3294   
200.0000  	30.2264   	1142.2575 	12.9695   	0.0299    	33.4156   
200.0000  	21.8454   	825.5395  	11.6389   	0.1337    	7.4778    
200.0000  	24.8394   	938.6792  	12.1480   	0.0227    	44.0319   
200.0000  	34.9949   	1322.4575 	13.6185   	0.0333    	30.0025   
200.0000  	21.1292   	798.4715  	11.5103   	0.0211    	47.3375   
200.0000  	36.9007   	1394.4769 	13.8613   	0.0383    	26.1110   
200.0000  	29.2269   	1104.4837 	12.8249   	0.0251    	39.7635   
200.0000  	23.2138   	877.2480  	11.8770   	0.0243    	41.1689   
200.0000  	46.5459   	1758.9694 	14.9768   	0.0668    	14.9689   
200.0000  	43.5396   	1645.3620 	14.6472   	0.0586    	17.0590   
200.0000  	31.1771   	1178.1820 	13.1040   	0.0299    	33.5000   
200.0000  	34.4957   	1303.5932 	13.5534   	0.0421    	23.7757   
200.0000  	45.8122   	1731.2427 	14.8977   	0.0623    	16.0632   
200.0000  	35.4850   	1340.9780 	13.6817   	0.0396    	25.2282   
200.0000  	31.8833   	1204.8700 	13.2022   	0.0456    	21.9242   
200.0000  	52.2699   	1975.2802 	15.5672   	0.0651    	15.3537   
200.0000  	33.7548   	1275.5947 	13.4557   	0.0281    	35.5528   
200.0000  	36.5053   	1379.5367 	13.8116   	0.0415    	24.0929   
200.0000  	39.8133   	1504.5431 	14.2168   	0.0683    	14.6337   
200.0000  	66.9087   	2528.4804 	16.9026   	0.1664    	6.0083    
200.0000  	30.5289   	1153.6863 	13.0126   	0.0257    	38.9167   
200.0000  	27.2141   	1028.4196 	12.5234   	0.0217    	46.0240   
200.0000  	36.5133   	1379.8380 	13.8126   	0.0407    	24.5760   
200.0000  	33.6756   	1272.5991 	13.4451   	0.0422    	23.6761   
200.0000  	39.7976   	1503.9517 	14.2149   	0.0400    	24.9845   
200.0000  	38.8362   	1467.6182 	14.0995   	0.0496    	20.1575   
200.0000  	39.4185   	1489.6248 	14.1697   	0.0451    	22.1566   
200.0000  	35.8550   	1354.9593 	13.7291   	0.0339    	29.5093   
200.0000  	33.0037   	1247.2087 	13.3551   	0.0324    	30.8486   
200.0000  	22.9136   	865.9043  	11.8256   	0.0210    	47.6554   
200.0000  	25.6108   	967.8308  	12.2725   	0.0205    	48.7127   
200.0000  	18.6669   	705.4219  	11.0446   	0.0223    	44.8736   
200.0000  	46.7250   	1765.7379 	14.9960   	0.0654    	15.2998   
200.0000  	33.6616   	1272.0724 	13.4433   	0.0341    	29.3504   
200.0000  	39.5050   	1492.8952 	14.1800   	0.0500    	20.0108   
200.0000  	37.5408   	1418.6686 	13.9410   	0.0370    	27.0267   
200.0000  	80.8584   	3055.6403 	18.0040   	0.1074    	9.3084    
200.0000  	39.8519   	1506.0028 	14.2214   	0.0450    	22.2050   
200.0000  	41.3163   	1561.3423 	14.3935   	0.0484    	20.6485   
200.0000  	25.2519   	954.2699  	12.2149   	0.0247    	40.4379   
200.0000  	31.3623   	1185.1815 	13.1299   	0.0265    	37.7517   
200.0000  	32.3848   	1223.8231 	13.2711   	0.0282    	35.4249   
200.0000  	27.8273   	1051.5953 	12.6168   	0.0310    	32.2776   
200.0000  	22.8001   	861.6144  	11.8061   	0.0181    	55.1972   
200.0000  	32.3884   	1223.9560 	13.2716   	0.0322    	31.0242   
200.0000  	24.7742   	936.2152  	12.1374   	0.0206    	48.4575   
200.0000  	25.1879   	951.8511  	12.2046   	0.0188    	53.1774   
200.0000  	7.1275    	269.3480  	8.0126    	0.0191    	52.3743   
200.0000  	48.5051   	1833.0091 	15.1841   	0.0668    	14.9601   
200.0000  	20.0425   	757.4076  	11.3095   	0.0162    	61.5789   
200.0000  	36.6554   	1385.2074 	13.8305   	0.0363    	27.5338   
200.0000  	47.5526   	1797.0114 	15.0840   	0.0843    	11.8671   
200.0000  	25.3403   	957.6117  	12.2292   	0.0238    	42.0887   
