Osm_mOsm  	FrequencyShift_Hz	Volume_um^3	DiameterV_um	PassageTime_s	Deformability_inverseSec
200.0000  	46.3491   	1571.2356 	14.4238   	0.0682    	14.6526   
200.0000  	56.5006   	1915.3718 	15.4082   	0.1462    	6.8423    
200.0000  	40.3358   	1367.3834 	13.7709   	0.0518    	19.3045   
200.0000  	47.3552   	1605.3405 	14.5275   	0.0614    	16.2983   
200.0000  	32.4065   	1098.5813 	12.8020   	0.0237    	42.2636   
200.0000  	25.5332   	865.5756  	11.8241   	0.0200    	50.1207   
200.0000  	31.5082   	1068.1273 	12.6826   	0.0247    	40.5669   
200.0000  	26.6380   	903.0281  	11.9923   	0.0250    	40.0663   
200.0000  	37.3131   	1264.9135 	13.4180   	0.0385    	25.9423   
200.0000  	24.8270   	841.6346  	11.7141   	0.0198    	50.6195   
200.0000  	35.2327   	1194.3890 	13.1638   	0.0286    	34.9062   
200.0000  	39.2285   	1329.8454 	13.6438   	0.3386    	2.9538    
200.0000  	39.7263   	1346.7211 	13.7012   	0.0221    	45.2528   
200.0000  	37.8759   	1283.9942 	13.4851   	0.0368    	27.1565   
200.0000  	24.2787   	823.0469  	11.6272   	0.0192    	52.1862   
200.0000  	25.3134   	858.1253  	11.7901   	0.0209    	47.7972   
200.0000  	48.1978   	1633.9062 	14.6131   	0.0581    	17.2178   
200.0000  	32.2430   	1093.0387 	12.7804   	0.0256    	39.0362   
200.0000  	41.1571   	1395.2251 	13.8638   	0.0480    	20.8147   
200.0000  	38.9331   	1319.8336 	13.6094   	0.0408    	24.4873   
200.0000  	45.0205   	1526.1960 	14.2847   	0.0559    	17.8805   
200.0000  	32.5836   	1104.5852 	12.8253   	0.0292    	34.2520   
200.0000  	28.1881   	955.5762  	12.2205   	0.0219    	45.5704   
200.0000  	27.5928   	935.3974  	12.1339   	0.0287    	34.8783   
200.0000  	26.5174   	898.9402  	11.9741   	0.0186    	53.7298   
200.0000  	102.4989  	3474.7134 	18.7920   	0.3297    	3.0332    
200.0000  	4.5968    	155.8304  	6.6765    	0.0168    	59.4903   
200.0000  	27.4093   	929.1769  	12.1069   	0.0209    	47.8572   
200.0000  	49.5516   	1679.7998 	14.7487   	0.0662    	15.1119   
200.0000  	9.4024    	318.7414  	8.4751    	0.0130    	77.1449   
200.0000  	35.7684   	1212.5494 	13.2302   	0.0355    	28.1588   
200.0000  	31.0859   	1053.8125 	12.6257   	0.0228    	43.9368   
200.0000  	47.3867   	1606.4102 	14.5307   	0.0633    	15.8086   
200.0000  	36.2790   	1229.8571 	13.2929   	0.0378    	26.4207   
200.0000  	31.7949   	1077.8479 	12.7210   	0.0233    	42.8270   
200.0000  	32.9023   	1115.3876 	12.8670   	0.0275    	36.3272   
