Osm_mOsm  	FrequencyShift_Hz	Volume_um^3	DiameterV_um	PassageTime_s	Deformability_inverseSec
300.0000  	38.2684   	1384.5496 	13.8283   	0.0922    	10.8456   
300.0000  	26.5380   	960.1453  	12.2399   	0.0190    	52.5366   
300.0000  	36.4052   	1317.1391 	13.6002   	0.0365    	27.3930   
300.0000  	35.5321   	1285.5500 	13.4906   	0.0323    	30.9424   
300.0000  	37.0892   	1341.8865 	13.6848   	0.0320    	31.2978   
300.0000  	36.3495   	1315.1258 	13.5932   	0.0333    	29.9907   
300.0000  	43.6142   	1577.9631 	14.4444   	0.0713    	14.0289   
300.0000  	36.4897   	1320.1982 	13.6107   	0.0368    	27.1565   
300.0000  	23.8937   	864.4751  	11.8191   	0.0198    	50.5441   
300.0000  	55.5460   	2009.6530 	15.6570   	0.0862    	11.6075   
300.0000  	43.7202   	1581.7968 	14.4561   	0.0774    	12.9277   
300.0000  	33.6090   	1215.9750 	13.2427   	0.0262    	38.1529   
300.0000  	31.9392   	1155.5616 	13.0196   	0.0251    	39.8102   
300.0000  	32.7335   	1184.2964 	13.1267   	0.0280    	35.6566   
300.0000  	26.1775   	947.1006  	12.1843   	0.0181    	55.2972   
300.0000  	21.6966   	784.9835  	11.4451   	0.0200    	49.8995   
300.0000  	19.8706   	718.9175  	11.1146   	0.0164    	60.9395   
300.0000  	52.0637   	1883.6636 	15.3227   	0.0790    	12.6533   
300.0000  	34.9720   	1265.2860 	13.4193   	0.0317    	31.5209   
300.0000  	35.3177   	1277.7934 	13.4634   	0.0281    	35.5859   
300.0000  	33.0071   	1194.1976 	13.1631   	0.0315    	31.7835   
300.0000  	36.0857   	1305.5799 	13.5603   	0.0305    	32.7804   
300.0000  	35.4087   	1281.0883 	13.4749   	0.0301    	33.1795   
300.0000  	34.3401   	1242.4263 	13.3380   	0.0283    	35.3756   
300.0000  	39.8352   	1441.2382 	14.0145   	0.0412    	24.2788   
300.0000  	40.1617   	1453.0504 	14.0527   	0.0404    	24.7334   
300.0000  	20.7847   	751.9901  	11.2825   	0.0205    	48.8844   
300.0000  	35.8705   	1297.7929 	13.5333   	0.0367    	27.2681   
300.0000  	33.0543   	1195.9047 	13.1694   	0.0255    	39.2622   
300.0000  	27.7139   	1002.6893 	12.4181   	0.0208    	47.9700   
300.0000  	36.4730   	1319.5921 	13.6086   	0.0320    	31.2306   
300.0000  	24.0971   	871.8322  	11.8525   	0.0196    	50.9236   
300.0000  	31.8435   	1152.0962 	13.0066   	0.0205    	48.8844   
300.0000  	21.7416   	786.6118  	11.4530   	0.0156    	64.1145   
300.0000  	47.8673   	1731.8397 	14.8994   	0.0587    	17.0466   
300.0000  	34.1022   	1233.8173 	13.3071   	0.0272    	36.7118   
300.0000  	50.7950   	1837.7647 	15.1972   	0.1972    	5.0715    
300.0000  	41.9943   	1519.3522 	14.2633   	0.0511    	19.5719   
300.0000  	40.3056   	1458.2565 	14.0695   	0.0418    	23.9230   
300.0000  	19.5529   	707.4236  	11.0550   	0.0182    	54.8598   
300.0000  	32.3362   	1169.9254 	13.0733   	0.0308    	32.4700   
300.0000  	38.4248   	1390.2085 	13.8472   	0.0426    	23.4812   
300.0000  	32.0655   	1160.1296 	13.0367   	0.0277    	36.0526   
