Osm_mOsm  	FrequencyShift_Hz	Volume_um^3	DiameterV_um	PassageTime_s	Deformability_inverseSec
300.0000  	42.3788   	1468.4253 	14.1021   	0.0582    	17.1790   
300.0000  	38.3549   	1328.9979 	13.6409   	0.0474    	21.1142   
300.0000  	25.7314   	891.5928  	11.9414   	0.0249    	40.1982   
300.0000  	28.7706   	996.9021  	12.3942   	0.0280    	35.7653   
300.0000  	48.8431   	1692.4147 	14.7855   	0.0786    	12.7245   
300.0000  	35.0634   	1214.9467 	13.2389   	0.0401    	24.9171   
300.0000  	27.8106   	963.6357  	12.2548   	0.0255    	39.1966   
300.0000  	38.5071   	1334.2694 	13.6589   	0.0568    	17.5960   
300.0000  	33.2795   	1153.1337 	13.0105   	0.0311    	32.1789   
300.0000  	24.9502   	864.5238  	11.8193   	0.0247    	40.5292   
300.0000  	34.0066   	1178.3298 	13.1046   	0.0364    	27.5041   
300.0000  	32.9764   	1142.6323 	12.9709   	0.0287    	34.7829   
300.0000  	29.9235   	1036.8492 	12.5576   	0.0316    	31.6713   
300.0000  	32.1347   	1113.4659 	12.8596   	0.0304    	32.9005   
300.0000  	37.0846   	1284.9810 	13.4886   	0.0388    	25.7671   
300.0000  	43.8343   	1518.8591 	14.2618   	0.0675    	14.8206   
300.0000  	30.0500   	1041.2336 	12.5752   	0.0294    	33.9888   
300.0000  	43.7792   	1516.9504 	14.2558   	0.0686    	14.5750   
300.0000  	30.3753   	1052.5057 	12.6205   	0.0282    	35.4743   
300.0000  	27.0888   	938.6268  	12.1478   	0.0222    	44.9794   
300.0000  	38.6758   	1340.1148 	13.6788   	0.0468    	21.3685   
300.0000  	66.1288   	2291.3637 	16.3568   	0.2033    	4.9197    
300.0000  	51.4589   	1783.0515 	15.0449   	0.0995    	10.0522   
300.0000  	48.7928   	1690.6696 	14.7804   	0.1208    	8.2789    
300.0000  	40.5088   	1403.6292 	13.8916   	0.0633    	15.7971   
300.0000  	23.8176   	825.2782  	11.6377   	0.0209    	47.7449   
300.0000  	79.8227   	2765.8559 	17.4158   	0.4087    	2.4470    
300.0000  	24.8635   	861.5195  	11.8056   	0.0237    	42.2109   
300.0000  	22.5335   	780.7875  	11.4247   	0.0180    	55.6399   
300.0000  	49.1606   	1703.4142 	14.8175   	0.0781    	12.8089   
300.0000  	65.1638   	2257.9246 	16.2768   	0.8906    	1.1229    
300.0000  	36.7685   	1274.0279 	13.4501   	0.0465    	21.5162   
300.0000  	20.0288   	693.9969  	10.9847   	0.0194    	51.4820   
300.0000  	31.4606   	1090.1096 	12.7690   	0.0362    	27.6411   
300.0000  	30.2539   	1048.2992 	12.6036   	0.0498    	20.1004   
300.0000  	33.5538   	1162.6404 	13.0461   	0.0351    	28.4847   
300.0000  	30.2457   	1048.0119 	12.6025   	0.0283    	35.3633   
300.0000  	42.9561   	1488.4302 	14.1659   	0.0540    	18.5320   
300.0000  	30.8216   	1067.9671 	12.6820   	0.0341    	29.3419   
300.0000  	24.2473   	840.1701  	11.7073   	0.0238    	41.9614   
300.0000  	27.4173   	950.0107  	12.1967   	0.0254    	39.3229   
300.0000  	43.4705   	1506.2524 	14.2222   	0.0545    	18.3427   
300.0000  	26.2617   	909.9665  	12.0229   	0.0279    	35.8367   
300.0000  	44.8141   	1552.8096 	14.3672   	0.0836    	11.9596   
300.0000  	51.9608   	1800.4411 	15.0936   	0.1082    	9.2422    
300.0000  	47.4069   	1642.6497 	14.6391   	0.0767    	13.0354   
300.0000  	37.7014   	1306.3524 	13.5629   	0.0453    	22.0733   
300.0000  	22.8502   	791.7606  	11.4780   	0.0231    	43.2519   
300.0000  	31.8656   	1104.1439 	12.8236   	0.0306    	32.6961   
300.0000  	30.3588   	1051.9324 	12.6182   	0.0278    	35.9931   
300.0000  	26.5156   	918.7657  	12.0615   	0.0248    	40.3311   
300.0000  	39.4355   	1366.4401 	13.7678   	0.0549    	18.2091   
300.0000  	27.0538   	937.4151  	12.1426   	0.0390    	25.6307   
300.0000  	37.6143   	1303.3342 	13.5525   	0.0539    	18.5568   
300.0000  	34.6953   	1202.1927 	13.1924   	0.0405    	24.6814   
300.0000  	32.4113   	1123.0503 	12.8964   	0.0311    	32.1857   
300.0000  	34.0507   	1179.8554 	13.1102   	0.0415    	24.0853   
300.0000  	29.2073   	1012.0344 	12.4566   	0.0252    	39.6860   
300.0000  	53.5108   	1854.1485 	15.2422   	0.0714    	13.9974   
300.0000  	44.7289   	1549.8578 	14.3581   	0.1459    	6.8538    
300.0000  	26.7449   	926.7094  	12.0962   	0.0219    	45.6113   
300.0000  	49.7518   	1723.8984 	14.8766   	0.0729    	13.7199   
300.0000  	30.9586   	1072.7169 	12.7007   	0.0298    	33.5590   
300.0000  	37.3138   	1292.9224 	13.5163   	0.0415    	24.1062   
300.0000  	38.6431   	1338.9820 	13.6749   	0.0480    	20.8403   
300.0000  	23.0800   	799.7203  	11.5163   	0.0203    	49.2313   
300.0000  	28.9690   	1003.7764 	12.4226   	0.0282    	35.4413   
300.0000  	60.1525   	2084.2854 	15.8484   	0.0824    	12.1288   
