Osm_mOsm  	FrequencyShift_Hz	Volume_um^3	DiameterV_um	PassageTime_s	Deformability_inverseSec
200.0000  	34.4536   	1247.9080 	13.3576   	0.0292    	34.2289   
200.0000  	32.0229   	1159.8700 	13.0358   	0.0338    	29.5636   
200.0000  	39.7538   	1439.8840 	14.0102   	0.0394    	25.3666   
200.0000  	47.7074   	1727.9634 	14.8883   	0.0743    	13.4514   
200.0000  	106.3541  	3852.1458 	19.4492   	4.9831    	0.2007    
200.0000  	46.0313   	1667.2548 	14.7119   	0.0548    	18.2603   
200.0000  	30.8962   	1119.0613 	12.8811   	0.0272    	36.8270   
200.0000  	44.0658   	1596.0630 	14.4994   	0.0694    	14.4064   
200.0000  	48.1637   	1744.4888 	14.9356   	0.0774    	12.9223   
200.0000  	27.8483   	1008.6659 	12.4427   	0.0259    	38.5432   
200.0000  	18.6055   	673.8924  	10.8775   	0.0155    	64.4530   
200.0000  	32.9876   	1194.8094 	13.1654   	0.0328    	30.4424   
200.0000  	72.1920   	2614.7929 	17.0928   	0.1348    	7.4187    
200.0000  	25.5254   	924.5287  	12.0867   	0.0203    	49.3109   
200.0000  	27.2215   	985.9621  	12.3487   	0.0216    	46.3455   
200.0000  	35.3427   	1280.1137 	13.4715   	0.0507    	19.7314   
200.0000  	66.5631   	2410.9161 	16.6365   	0.1131    	8.8401    
200.0000  	51.3739   	1860.7623 	15.2603   	0.0781    	12.8046   
200.0000  	105.7094  	3828.7951 	19.4098   	1.1267    	0.8875    
200.0000  	3.1085    	112.5916  	5.9910    	0.0094    	106.1513  
200.0000  	26.9682   	976.7881  	12.3103   	0.0208    	48.0758   
200.0000  	32.9867   	1194.7768 	13.1653   	0.0348    	28.7531   
200.0000  	33.8773   	1227.0362 	13.2827   	0.0325    	30.7677   
200.0000  	28.3145   	1025.5498 	12.5118   	0.0255    	39.2622   
200.0000  	42.1533   	1526.7908 	14.2865   	0.0585    	17.0886   
200.0000  	29.5348   	1069.7513 	12.6890   	0.0274    	36.5447   
200.0000  	40.0079   	1449.0850 	14.0399   	0.0431    	23.2257   
200.0000  	54.4618   	1972.6057 	15.5602   	0.1098    	9.1057    
200.0000  	35.3154   	1279.1243 	13.4680   	0.0353    	28.3603   
200.0000  	33.2128   	1202.9693 	13.1953   	0.0261    	38.3495   
200.0000  	31.3275   	1134.6837 	12.9407   	0.0277    	36.0739   
200.0000  	56.4420   	2044.3291 	15.7465   	0.1208    	8.2780    
200.0000  	38.2583   	1385.7156 	13.8322   	0.0312    	32.0943   
200.0000  	103.8695  	3762.1524 	19.2965   	0.7989    	1.2517    
200.0000  	51.9025   	1879.9071 	15.3125   	0.0935    	10.6899   
200.0000  	44.5277   	1612.7918 	14.5499   	0.0961    	10.4070   
200.0000  	28.2645   	1023.7413 	12.5044   	0.0222    	45.1324   
