Osmo_mOsm	Area_um2	DiameterA_um	Volume_um3	DiameterV_um	Deformation	
200	218.07941	16.663353	1758.9476	14.976768	0.1089415
200	189.64182	15.538966	1455.5311	14.060722	0.11580569
200	163.68961	14.436623	1179.4777	13.108823	0.098696589
200	184.67101	15.333963	1388.3758	13.841064	0.10332608
200	120.3396	12.378253	758.4188	11.314538	0.082248569
200	164.15201	14.456999	1149.8247	12.998034	0.098655641
200	171.0302	14.756775	1252.4281	13.373694	0.089289784
200	205.30562	16.167969	1725.503	14.881237	0.078996718
200	148.71941	13.760648	1031.1801	12.534643	0.10287654
200	237.73141	17.397961	1969.4858	15.551946	0.11063933
200	158.8344	14.220908	1144.9427	12.979612	0.10739565
200	187.6188	15.455862	1393.1692	13.856974	0.1179989
200	92.248802	10.837658	527.84279	10.026946	0.042447269
200	215.9408	16.581446	1794.7436	15.077682	0.10830587
200	202.01102	16.037719	1572.9233	14.429002	0.11418855
200	227.15402	17.006513	1869.7281	15.284806	0.10640252
200	175.0184	14.927838	1294.2368	13.520882	0.10934591
200	227.44301	17.017327	1926.7648	15.438675	0.11826867
200	129.0096	12.8164	838.7466	11.70067	0.074164808
200	133.1134	13.01865	884.81758	11.911096	0.068624973
200	249.06021	17.807676	2161.9094	16.04278	0.11698264
200	153.2856	13.9703	1074.7508	12.708756	0.087883413
200	130.3968	12.885122	825.57763	11.63911	0.090896189
200	210.50761	16.371519	1665.539	14.706818	0.11990368
200	123.69201	12.549484	805.62319	11.54457	0.06055373
200	128.894	12.810657	886.4403	11.918373	0.064639807
200	198.6586	15.904087	1602.3814	14.518523	0.096978903
200	166.1172	14.54328	1173.3993	13.086266	0.10534477
200	160.2216	14.282874	1106.4003	12.832301	0.097102404
200	125.13701	12.622575	801.72293	11.52591	0.084283412
200	130.2234	12.876552	817.34333	11.600284	0.080021381
200	117.045	12.207634	775.81035	11.400371	0.052889347
200	141.5522	13.424971	989.38578	12.362957	0.07299155
200	186.5784	15.412949	1384.1029	13.82685	0.10250127
200	118.54781	12.285754	753.33039	11.289177	0.067169607
200	148.0836	13.731202	999.83562	12.40633	0.088152289
200	152.881	13.95185	1071.2543	12.69496	0.074837565
200	182.82141	15.25698	1461.7614	14.080755	0.074248135
200	172.64861	14.82643	1309.8362	13.574988	0.087913156
200	224.78421	16.917569	1820.5471	15.149598	0.1324411
200	171.666	14.784179	1293.9701	13.519954	0.089406431
200	116.17801	12.162337	732.12941	11.182264	0.068067491
200	181.72319	15.211086	1368.399	13.774358	0.086438477
200	178.5442	15.077451	1370.4461	13.781224	0.081088245
200	176.63681	14.996699	1320.041	13.610151	0.095728159
200	125.8884	12.660414	833.4048	11.675777	0.069854915
200	176.46341	14.989336	1351.4869	13.717377	0.088482022
200	157.1004	14.143071	1141.31	12.96587	0.08352983
200	153.4012	13.975567	1077.8097	12.720802	0.080891132
200	161.49321	14.33944	1089.3984	12.766231	0.12307948
200	156.349	14.109207	1123.1486	12.896728	0.087256491
200	168.5448	14.649161	1227.001	13.28257	0.10122299
200	198.1962	15.885567	1476.903	14.129207	0.13090724
200	221.89421	16.808465	1855.6205	15.246267	0.092749059
200	165.019	14.495127	1159.9699	13.036151	0.098625481
200	133.1134	13.01865	910.45885	12.025059	0.070786476
200	127.6802	12.750195	837.0184	11.692628	0.083264351
200	279.92542	18.87888	2546.2344	16.942075	0.12039918
200	184.84441	15.341161	1355.836	13.732075	0.10433382
200	133.2868	13.027127	850.50605	11.755098	0.092916608
200	192.3584	15.649866	1550.9683	14.361554	0.10023296
200	205.3634	16.170244	1689.1959	14.776122	0.088552892
200	127.73801	12.753081	851.06521	11.757674	0.056744516
200	116.6404	12.186516	731.13246	11.177186	0.072808385
200	144.3266	13.555897	1026.4761	12.515554	0.067244709
200	126.69761	12.70104	832.74821	11.67271	0.067984462
200	146.00281	13.634388	1054.569	12.628704	0.062021792
200	139.298	13.317647	936.56733	12.138922	0.085648477
200	214.78482	16.537005	1438.8343	14.00675	0.16916311
200	255.24481	18.027418	2289.6873	16.352815	0.10711473
200	147.39	13.699006	1058.4646	12.644235	0.072848678
200	134.44281	13.083497	848.65105	11.746546	0.090504646
200	124.0388	12.567064	775.02586	11.396527	0.094427228
200	156.8692	14.13266	1123.6848	12.89878	0.091409206
200	195.075	15.759987	1448.8404	14.039145	0.11153877
200	131.43721	12.936424	887.88926	11.924863	0.070993662
200	114.61741	12.080373	775.70689	11.399864	0.030205548
200	205.2478	16.165693	1635.961	14.619239	0.10081959
200	224.55301	16.908867	1829.2166	15.173607	0.12195671
200	142.4192	13.466023	959.87972	12.238816	0.10407877
200	135.8878	13.15362	944.22589	12.17192	0.070309877
200	174.6138	14.910573	1269.1831	13.433068	0.099392414
200	149.12401	13.779354	1034.0643	12.546318	0.10002053
200	137.21721	13.217805	927.09299	12.097851	0.071596682
200	139.52921	13.328695	930.74712	12.113725	0.10491729
200	191.14461	15.600413	1394.3206	13.860791	0.10218239
200	108.5484	11.756195	667.79372	10.844626	0.050557256
200	148.89281	13.768668	1049.2959	12.60762	0.089837313
200	127.56461	12.744422	808.61377	11.558838	0.087472856
200	164.8456	14.48751	1287.6142	13.497781	0.044268668
200	204.26521	16.126951	1691.0347	14.781482	0.096167207
200	140.5696	13.378295	1000.4637	12.408927	0.06651485
200	129.2986	12.830748	931.11339	12.115313	0.044781089
200	156.927	14.135263	1144.6074	12.978345	0.085131407
200	178.5442	15.077451	1283.6165	13.483798	0.097243786
200	155.30861	14.062186	1097.0256	12.795955	0.078113437
200	153.2856	13.9703	1057.0743	12.638697	0.098419785
200	173.9202	14.88093	1362.6592	13.755072	0.073088109
200	189.9886	15.553167	1530.4338	14.297891	0.07003969
200	182.59021	15.24733	1351.9745	13.719026	0.10509807
200	153.22781	13.967667	1068.6023	12.684475	0.10132599
200	106.87221	11.665073	671.234	10.863217	0.065926611
200	143.17059	13.501498	976.63551	12.30962	0.073134184
200	160.85741	14.311185	1149.0862	12.995251	0.096450448
200	122.99841	12.514249	764.30567	11.343737	0.092479825
200	153.748	13.991356	1094.0237	12.784273	0.084653914
200	170.68341	14.741807	1240.4165	13.330803	0.090982437
200	177.157	15.018765	1348.9146	13.708669	0.085004091
200	204.66982	16.142915	1676.987	14.740437	0.096021652
200	151.89841	13.906943	1024.1718	12.506182	0.09428072
200	122.7094	12.499539	793.03414	11.484121	0.069622099
200	111.1494	11.89621	637.58408	10.678566	0.09439683
200	196.52	15.81825	1650.8029	14.663316	0.084735334
200	271.1398	18.580256	2464.7245	16.759327	0.1066066
200	158.89221	14.223496	1141.6257	12.967065	0.076526463
200	190.74001	15.583893	1522.118	14.271947	0.082081795
200	157.1582	14.145672	1068.0782	12.682401	0.11968595
200	202.4156	16.053771	1668.4035	14.715245	0.069033563
200	174.38261	14.900699	1321.7329	13.615963	0.087741196
200	130.2234	12.876552	831.30343	11.665956	0.082386911
200	140.9742	13.397534	945.19623	12.176088	0.088732362
200	184.67101	15.333963	1469.4046	14.105254	0.08236444
200	155.71321	14.080491	1128.7206	12.91802	0.073821366
200	155.6554	14.077876	1102.6112	12.817636	0.076258063
200	120.2818	12.37528	764.85595	11.346459	0.075002134
200	160.56841	14.298323	1143.4795	12.97408	0.095288634
200	227.09621	17.004349	1901.8483	15.371836	0.11592209
200	145.82941	13.62629	1041.2094	12.575149	0.066071391
200	244.1472	17.631162	2134.4309	15.97452	0.099598706
200	176.29001	14.98197	1335.9951	13.664762	0.0869506
200	134.38499	13.080684	883.81009	11.906573	0.083760619
200	135.4254	13.131221	920.18037	12.067708	0.068120062
200	169.4696	14.689295	1259.3484	13.398281	0.087665498
200	151.72501	13.899003	1082.424	12.738929	0.084969521
200	138.0842	13.259497	902.85905	11.991507	0.10341465
200	61.0368	8.815581	291.21329	8.2237681	0.036394954
200	187.1564	15.436804	1452.2165	14.050041	0.095475554
200	148.1992	13.73656	1032.7209	12.540883	0.084393442
200	171.4348	14.77422	1207.1779	13.210651	0.1174345
200	138.2576	13.26782	949.38879	12.194065	0.064516306
200	131.66841	12.947796	860.19323	11.79956	0.069006264
200	146.52301	13.658656	990.66209	12.36827	0.099618435
200	156.2912	14.106599	1170.2152	13.074418	0.070891917
200	112.71	11.979434	668.76344	10.849872	0.077170074
200	218.36841	16.67439	1830.6358	15.17753	0.083114266
200	126.7554	12.703936	837.86493	11.696568	0.067117989
200	211.72141	16.41865	1821.408	15.151985	0.090337992
200	109.1264	11.787453	763.98733	11.342162	0.013510227
200	185.71141	15.377097	1362.2927	13.753839	0.1012482
200	129.761	12.85367	819.82094	11.611994	0.071742356
200	147.2744	13.693633	998.93847	12.402618	0.083659947
200	191.26021	15.605129	1443.0983	14.020573	0.10227937
200	169.354	14.684285	1243.3537	13.341317	0.082089126
200	147.7368	13.715113	991.50904	12.371794	0.083770156
200	142.59261	13.474218	995.32451	12.387643	0.079744101
200	118.8946	12.303711	802.86108	11.531362	0.069901824
200	145.71381	13.620888	956.48414	12.224367	0.11016285
200	198.25401	15.887884	1595.1937	14.496782	0.087801695
200	174.96062	14.925374	1347.7977	13.704884	0.084848762
200	158.54539	14.207965	1073.6509	12.70442	0.12705296
200	148.54601	13.752623	1007.9599	12.439843	0.080271125
200	176.9836	15.011413	1289.8246	13.5055	0.10828769
200	132.5354	12.990355	889.56095	11.932342	0.073985934
200	159.5858	14.254506	1149.8486	12.998124	0.092691839
200	279.75198	18.873031	2496.4896	16.831018	0.1190865
200	189.23721	15.522381	1480.4081	14.140375	0.10434169
200	131.37941	12.933579	871.17465	11.849559	0.070882916
200	184.72881	15.336363	1422.04	13.95204	0.10036892
200	152.18741	13.920166	1050.1306	12.610962	0.083224475
200	146.7542	13.669427	1001.136	12.411706	0.074153781
200	157.62061	14.166467	1129.1389	12.919615	0.093230963
200	154.326	14.017631	1138.9369	12.956877	0.071964145
200	191.02899	15.595694	1480.0418	14.139209	0.10151303
200	139.76041	13.339733	954.22893	12.214752	0.086421788
200	146.92761	13.677501	1022.4578	12.499201	0.10409653
200	233.10739	17.227929	1907.195	15.386228	0.12084293
200	141.321	13.414003	918.43395	12.060068	0.090815485
200	165.59702	14.520491	1221.8841	13.26408	0.072584331
200	112.47881	11.967141	743.51378	11.239926	0.062932253
200	132.0152	12.964836	851.2051	11.758318	0.093155801
200	190.5088	15.574445	1577.9453	14.444343	0.078759432
200	147.4478	13.701692	1034.5634	12.548337	0.084940493
200	141.7256	13.433192	948.09861	12.188538	0.10285765
200	156.7536	14.127451	1135.0217	12.942014	0.075715184
200	154.2682	14.015005	1051.0513	12.614647	0.098483264
200	168.48701	14.646649	1236.7852	13.317782	0.093090057
200	199.41	15.934136	1608.9785	14.53842	0.095284462
200	136.58141	13.187147	867.58431	11.833259	0.097556591
200	180.8562	15.174758	1404.4404	13.894243	0.078530133
200	155.9444	14.090939	1094.49	12.786089	0.105959
200	203.57159	16.099547	1599.5461	14.509954	0.11550772
200	149.41301	13.792699	1023.0054	12.501432	0.092672229
200	143.17059	13.501498	985.59235	12.347136	0.084233642
200	143.92201	13.536883	1000.8006	12.41032	0.07993114
200	182.82141	15.25698	1421.0877	13.948925	0.099039853
200	135.7722	13.148024	907.23596	12.010854	0.084919572
200	234.1478	17.266332	1982.7834	15.586869	0.10252035
200	237.7892	17.400075	2047.399	15.754379	0.1044119
200	171.2614	14.766746	1278.4361	13.465634	0.088738203
200	228.25221	17.047573	1979.09	15.577185	0.088181317
200	117.5652	12.234732	694.69909	10.988356	0.1118539
200	188.54359	15.493907	1476.2113	14.127001	0.086689174
200	143.17059	13.501498	991.73057	12.372715	0.088086009
200	73.868401	9.6980497	355.12101	8.786028	0.063334584
200	107.1612	11.680834	649.84096	10.74656	0.063026905
200	136.52361	13.184356	906.08503	12.005773	0.093938112
200	147.8524	13.720478	1023.2562	12.502454	0.072139978
200	170.56781	14.736814	1261.4915	13.405877	0.083227813
200	161.78221	14.352265	1189.4822	13.145783	0.078577757
200	149.06619	13.776682	1019.1677	12.48578	0.098531723
200	168.3714	14.641623	1341.2032	13.682496	0.053854883
200	154.2104	14.01238	1139.5599	12.959239	0.068964064
200	136.98599	13.206664	880.60538	11.892164	0.099033475
200	123.5764	12.543618	802.67309	11.530462	0.071467936
200	195.3062	15.769324	1426.6382	13.967062	0.13441062
200	101.5546	11.371163	535.67109	10.076272	0.076166391
200	209.06261	16.315231	1682.2786	14.755925	0.09127301
200	182.82141	15.25698	1405.3608	13.897278	0.09254849
200	146.9854	13.680191	1007.8787	12.439508	0.081414402
200	114.733	12.086463	695.12293	10.99059	0.084196329
200	142.3614	13.46329	1007.4482	12.437737	0.081383049
200	124.84801	12.60799	760.29727	11.323872	0.12129784
200	214.78482	16.537005	1823.6559	15.158216	0.10034883
200	143.22841	13.504224	998.50576	12.400827	0.084885478
200	122.7672	12.502482	782.84292	11.434715	0.083707809
200	179.75801	15.128616	1337.7923	13.670887	0.098480344
