Osmo_mOsm	Area_um2	DiameterA_um	Volume_um3	DiameterV_um	Deformation	
200	194.26579	15.727266	1392.9188	13.856144	0.13737291
200	115.311	12.116869	726.12882	11.15163	0.078132033
200	171.1458	14.761761	1196.6151	13.172007	0.099491656
200	110.16679	11.84351	670.60549	10.859825	0.065122962
200	194.26579	15.727266	1392.9188	13.856144	0.13737291
200	115.311	12.116869	726.12882	11.15163	0.078132033
200	171.1458	14.761761	1196.6151	13.172007	0.099491656
200	110.16679	11.84351	670.60549	10.859825	0.065122962
200	141.321	13.414003	979.67613	12.322381	0.08948952
200	131.66841	12.947796	765.72341	11.350747	0.11623031
200	141.321	13.414003	979.67613	12.322381	0.08948952
200	131.66841	12.947796	765.72341	11.350747	0.11623031
200	153.11221	13.962397	1073.7286	12.704726	0.087807178
200	116.4092	12.174432	747.87767	11.261874	0.063088834
200	84.734802	10.3869	531.59529	10.05065	0.011850834
200	129.183	12.825011	828.15305	11.6512	0.081461847
200	155.42421	14.067418	1118.7782	12.879978	0.10317224
200	134.7318	13.097551	857.81641	11.788682	0.094728112
200	154.84621	14.041236	1058.4736	12.644271	0.10924011
200	197.38699	15.853105	1578.7681	14.446853	0.095824957
200	141.14761	13.405772	953.76982	12.212793	0.095350444
200	179.46899	15.116449	1279.7465	13.470233	0.13971072
200	151.66721	13.896355	1056.6249	12.636905	0.078170359
200	185.827	15.381882	1474.6241	14.121936	0.094622612
200	165.308	14.507814	1219.4481	13.255259	0.090889573
200	193.4566	15.694477	1463.3155	14.085744	0.10293597
200	124.44341	12.587544	790.14491	11.470157	0.073534667
200	139.298	13.317647	925.14038	12.089351	0.089105606
200	135.541	13.136825	916.59549	12.052016	0.082745135
200	173.51559	14.86361	1264.97	13.418188	0.10645014
200	172.1284	14.804077	1331.7239	13.650185	0.086729109
200	171.8394	14.791644	1244.8284	13.346589	0.12055057
200	109.99341	11.834186	639.69406	10.690333	0.083795071
200	225.42	16.941477	2297.505	16.371405	0.018945038
200	118.7212	12.294736	748.54634	11.265229	0.084613144
200	200.16141	15.964129	1613.3379	14.551538	0.081286728
200	72.885796	9.6333316	373.1876	8.9325652	0.057764351
200	136.87041	13.201091	949.79109	12.195787	0.076171458
200	171.666	14.784179	1263.6389	13.41348	0.089851856
200	193.74561	15.706195	1544.943	14.342932	0.08955574
200	156.2334	14.10399	1057.1599	12.639038	0.10644513
200	170.7412	14.744302	1146.3379	12.984882	0.12825602
200	173.74681	14.87351	1269.1273	13.432871	0.096290708
200	188.717	15.50103	1448.3055	14.037416	0.10766751
200	175.4808	14.947545	1285.8599	13.491648	0.099027455
200	172.1284	14.804077	1180.6399	13.113127	0.13077658
200	140.04941	13.353518	940.54957	12.156103	0.099686563
200	135.3098	13.125616	896.12035	11.961599	0.084046662
200	160.97301	14.316326	1098.1691	12.8004	0.10241085
200	167.33099	14.596316	1192.6797	13.157551	0.096945405
200	130.74361	12.902245	861.34029	11.804802	0.078047037
200	135.1364	13.117203	907.7667	12.013195	0.084079683
200	155.771	14.083103	1096.6675	12.794563	0.077038705
200	180.2204	15.148061	1353.8886	13.725498	0.092378855
200	159.5858	14.254506	1152.3823	13.007664	0.088472605
200	202.0688	16.040012	1601.3404	14.515378	0.1025939
