Osmo_mOsm	Area_um2	DiameterA_um	Volume_um3	DiameterV_um	Deformation	
200	192.8208	15.668665	1622.5426	14.57916	0.067396402
200	157.62061	14.166467	1152.0723	13.006498	0.083234429
200	192.8208	15.668665	1622.5426	14.57916	0.067396402
200	122.5938	12.49365	714.86208	11.093652	0.11154377
200	122.5938	12.49365	714.86208	11.093652	0.11154377
200	175.0184	14.927838	1294.3152	13.521155	0.097643614
200	108.2594	11.740534	673.90021	10.877581	0.050951779
200	156.00221	14.093551	1127.2811	12.912526	0.089327753
200	152.36079	13.928093	1069.7995	12.68921	0.081637025
200	136.2346	13.170394	1060.9631	12.654176	0.017232358
200	133.98041	13.060978	881.98633	11.898377	0.07420963
200	152.9388	13.954488	1024.7209	12.508416	0.091951668
200	146.8698	13.67481	1111.6084	12.852405	0.063210428
200	171.08801	14.759269	1274.2892	13.451059	0.10263479
200	184.43982	15.324362	1396.7568	13.868859	0.097451568
200	189.81522	15.546068	1491.5906	14.17589	0.090978861
200	229.5816	17.097145	1911.7647	15.398507	0.10076934
200	222.00981	16.812842	1838.9676	15.200521	0.11010635
200	145.1936	13.596552	1001.2684	12.412253	0.084893763
200	214.4958	16.525875	1757.8208	14.973569	0.11901879
200	149.23961	13.784693	1062.4483	12.660078	0.072085381
200	186.405	15.405785	1398.9236	13.876027	0.10000533
200	213.80222	16.499134	1773.9746	15.019297	0.092369199
200	172.59081	14.823948	1238.1903	13.322823	0.12357491
200	124.2122	12.575846	835.54075	11.685743	0.064631701
200	151.60941	13.893707	1134.8454	12.941343	0.082116723
200	135.8878	13.15362	926.25818	12.094219	0.078723192
200	186.983	15.429652	1450.7883	14.045433	0.080090225
200	121.6112	12.44348	785.17941	11.44608	0.069017112
200	151.95619	13.909588	1090.5751	12.770826	0.08817631
200	144.4422	13.561324	990.70171	12.368435	0.087541163
200	128.66281	12.799163	832.48708	11.67149	0.080746293
200	156.4646	14.114422	1106.4634	12.832545	0.073928952
200	161.55099	14.342005	1194.0077	13.162433	0.093710244
200	149.991	13.819351	1098.377	12.801207	0.071294487
200	137.56401	13.234498	971.92672	12.289804	0.067009866
200	101.15	11.348488	587.91837	10.393763	0.070984304
200	154.73061	14.035994	1074.5994	12.70816	0.10173303
200	134.9052	13.105977	921.6074	12.073943	0.075184047
200	132.4776	12.987522	866.95868	11.830414	0.079345822
200	191.43359	15.612201	1473.6197	14.118729	0.11636573
200	158.48761	14.205375	1240.6661	13.331697	0.06260848
200	134.96301	13.108785	802.30711	11.528709	0.097271562
200	149.41301	13.792699	1020.2331	12.490129	0.11142129
200	142.82381	13.485137	984.98761	12.34461	0.076075435
200	156.6958	14.124847	1091.3744	12.773945	0.092257857
200	196.2888	15.808943	1561.1397	14.39288	0.11220497
200	171.8394	14.791644	1309.5965	13.57416	0.093372226
200	146.46519	13.655961	963.15244	12.252709	0.098367453
200	177.3882	15.028562	1322.4221	13.618329	0.10202056
200	236.69101	17.359849	1973.0545	15.561334	0.11952287
200	132.5932	12.993187	897.70488	11.968645	0.074936569
200	124.0388	12.567064	748.25708	11.263778	0.090342045
200	148.77721	13.763322	1079.6564	12.728063	0.082739532
200	159.239	14.239009	1169.1697	13.070523	0.089155972
200	75.544601	9.8074652	341.02249	8.6681842	0.082296848
200	178.60201	15.079892	1298.1497	13.534495	0.089312553
200	211.3168	16.402954	1676.7447	14.739727	0.11220443
200	156.2334	14.10399	1139.5642	12.959256	0.082313001
200	188.60141	15.496283	1463.6167	14.08671	0.10037774
200	140.5696	13.378295	938.46905	12.147133	0.091804981
200	121.9002	12.458256	775.39443	11.398333	0.064421773
200	137.04381	13.209451	927.53117	12.099756	0.078821599
200	147.5634	13.707062	1045.7548	12.593422	0.097323656
200	150.858	13.859234	1037.1699	12.558866	0.081065118
200	172.99541	14.841314	1307.0064	13.565205	0.09731859
200	207.6754	16.261013	1635.7256	14.618538	0.11291099
200	168.8338	14.661715	1281.7455	13.477243	0.073455274
200	176.29001	14.98197	1341.95	13.685035	0.093292415
200	150.8002	13.856579	1014.154	12.465272	0.08408457
200	118.201	12.26777	742.75629	11.236108	0.087003291
200	194.49699	15.736622	1567.6448	14.412844	0.095650434
200	179.00659	15.096962	1320.9531	13.613285	0.097712755
200	163.0538	14.408558	1162.2602	13.044725	0.094023764
200	142.47701	13.468755	998.31958	12.400056	0.078995407
200	227.55859	17.021651	1922.0271	15.426011	0.10969758
200	168.3136	14.63911	1256.1797	13.387035	0.079619527
200	162.0712	14.365078	1180.9721	13.114357	0.093177378
200	132.94	13.010168	925.61509	12.091419	0.064329982
200	153.9214	13.999243	1151.2404	13.003366	0.074119627
200	191.8382	15.628691	1481.9712	14.14535	0.093568683
200	152.53421	13.936018	1105.5624	12.829061	0.077400386
200	116.46701	12.177455	718.45696	11.112217	0.068877995
200	140.9164	13.394787	983.49672	12.338379	0.085543692
200	145.4248	13.607373	1062.8227	12.661565	0.074632764
200	125.9462	12.66332	818.96016	11.607928	0.10167956
200	181.0296	15.18203	1363.319	13.757292	0.087705493
200	132.0152	12.964836	852.00136	11.761983	0.081152439
200	144.2688	13.553182	956.10874	12.222768	0.10496855
200	198.832	15.911027	1418.2067	13.939493	0.11048436
200	173.34221	14.856182	1292.584	13.515124	0.0895136
200	163.0538	14.408558	1195.8011	13.169019	0.082977533
200	186.405	15.405785	1536.6942	14.31736	0.049702942
200	149.41301	13.792699	1068.175	12.682784	0.092465162
200	158.02521	14.184638	1136.8341	12.948898	0.096412122
200	96.75721	11.099329	545.82535	10.139543	0.072868586
200	225.998	16.963183	1894.2998	15.351472	0.10827291
200	223.62819	16.874011	1873.1835	15.294217	0.11883438
200	98.491196	11.198343	587.03917	10.388579	0.055728018
200	126.6398	12.698142	795.64627	11.496716	0.080503702
200	157.90961	14.179448	1064.7782	12.669326	0.10403693
200	176.23221	14.979513	1383.383	13.824453	0.072035909
200	203.10921	16.081252	1595.8918	14.498896	0.11116153
200	140.33841	13.367289	951.04954	12.201171	0.091264009
200	129.8766	12.859394	885.99198	11.916363	0.057469845
200	147.1588	13.688258	932.01122	12.119206	0.082375407
200	142.88159	13.487865	983.01851	12.336379	0.080020308
200	131.32159	12.930733	870.48432	11.846429	0.076831698
200	131.55281	12.942111	855.52728	11.778186	0.069950283
200	129.472	12.839349	853.71024	11.769842	0.083139062
200	135.1364	13.117203	916.47757	12.051499	0.080742061
200	149.18181	13.782024	1055.271	12.631506	0.073386133
200	131.495	12.939267	873.22979	11.85887	0.076256394
200	149.64421	13.803367	838.01823	11.697282	0.14510256
200	171.955	14.796618	1262.5782	13.409726	0.099653363
200	122.536	12.490704	762.3111	11.333861	0.096109152
200	131.8418	12.956319	877.18504	11.876748	0.069057107
200	100.6298	11.319268	579.35984	10.343081	0.072222054
200	289.5202	19.199702	2676.8505	17.226954	0.12377757
200	154.67281	14.033372	1084.5715	12.747348	0.092826664
200	216.9234	16.619129	1795.331	15.079327	0.095103145
200	102.7684	11.438916	627.77864	10.623541	0.06465596
200	160.0482	14.275143	1137.0704	12.949796	0.10712457
200	166.81081	14.57361	1223.1633	13.268707	0.092028558
200	189.64182	15.538966	1428.5193	13.973199	0.10968685
200	171.5504	14.7792	1317.5921	13.601729	0.081892073
200	139.52921	13.328695	929.47044	12.108183	0.10062116
200	119.4148	12.330598	923.22931	12.081021	0.0080299973
200	148.95061	13.77134	1069.9946	12.689981	0.084991038
200	164.49881	14.472263	1172.7337	13.083791	0.094148576
200	199.1788	15.924896	1567.2384	14.411598	0.10259634
200	167.15761	14.588752	1230.5403	13.295329	0.088041544
200	162.9382	14.40345	1218.6006	13.252188	0.079887092
200	213.0508	16.470115	1705.8863	14.824629	0.11081344
200	222.81902	16.843455	1839.6748	15.20247	0.11256343
200	193.91899	15.713221	1603.1763	14.520923	0.087254703
200	205.5368	16.17707	1623.4963	14.582016	0.09352237
200	138.5466	13.28168	1022.2238	12.498248	0.035245776
200	127.16	12.724195	769.17944	11.367798	0.078681886
200	176.23221	14.979513	1269.2777	13.433402	0.084780514
200	146.9854	13.680191	1049.9685	12.610313	0.066755831
200	188.60141	15.496283	1432.2219	13.985261	0.11507815
200	219.11981	16.703054	1881.3782	15.316487	0.082275987
200	126.0618	12.66913	860.08675	11.799073	0.071755171
200	130.62801	12.89654	855.56096	11.778341	0.071273327
200	142.93941	13.490593	968.76652	12.27647	0.088226557
200	170.04761	14.714324	1321.9144	13.616586	0.071418941
200	146.5808	13.661349	1013.8153	12.463884	0.087741494
200	186.8674	15.424881	1375.6443	13.798626	0.11543047
200	123.28741	12.528943	790.88056	11.473716	0.060692132
200	171.8972	14.794131	1294.4789	13.521725	0.096937597
200	143.92201	13.536883	983.97916	12.340396	0.084819794
200	197.61819	15.862386	1613.5772	14.552258	0.091049731
200	140.9164	13.394787	919.21099	12.063469	0.093117356
200	117.4496	12.228715	719.18606	11.115975	0.085202217
200	156.638	14.122241	1147.5255	12.989365	0.072955966
200	164.32539	14.464632	1170.9788	13.077261	0.10603029
200	165.4814	14.515422	1266.7088	13.424333	0.074251413
200	154.037	14.004499	1116.1311	12.869812	0.089621425
200	147.5634	13.707062	1022.3857	12.498907	0.090435445
200	119.2414	12.321642	770.93601	11.376445	0.064519823
200	204.612	16.140635	1585.9381	14.46869	0.087627769
200	136.52361	13.184356	931.86684	12.11858	0.095967233
200	232.4716	17.204419	2005.5929	15.64641	0.11672044
200	145.65601	13.618186	1012.0817	12.456776	0.084109068
200	127.2178	12.727087	823.14788	11.62768	0.078029335
200	181.72319	15.211086	1405.3742	13.897322	0.091012299
200	154.037	14.004499	1082.101	12.737662	0.080564618
200	148.257	13.739239	1034.4274	12.547787	0.096075058
200	192.8786	15.671013	1475.7867	14.125646	0.11064982
200	132.8244	13.00451	838.43154	11.699204	0.097098291
200	182.47461	15.242503	1369.0798	13.776642	0.097869694
200	141.2632	13.41126	1000.9067	12.410758	0.072765648
200	251.95021	17.910694	2094.9141	15.875322	0.12219173
200	204.03401	16.117822	1626.0597	14.589686	0.10123247
200	53.060398	8.2194037	218.33905	7.4709804	0.063478529
200	131.32159	12.930733	841.386	11.71293	0.09511435
200	190.1042	15.557898	1450.7049	14.045164	0.085604191
200	131.6106	12.944953	869.42164	11.841606	0.075275481
200	145.65601	13.618186	991.8586	12.373248	0.085140646
200	116.06241	12.156284	733.35205	11.188485	0.060966253
200	152.7654	13.946575	1054.8225	12.629716	0.10482073
200	162.996	14.406004	1207.2943	13.211075	0.093778908
200	159.3546	14.244177	1106.8697	12.834116	0.097290814
200	124.55901	12.593389	809.04999	11.560916	0.085994899
200	138.6044	13.28445	925.72908	12.091915	0.096491396
200	105.7162	11.601812	712.5777	11.081823	0.020867288
200	136.0612	13.16201	985.72778	12.347702	0.036638796
200	187.85001	15.465383	1470.9633	14.11024	0.069565892
200	173.6312	14.868561	1280.0904	13.47144	0.083230436
200	144.5578	13.56675	985.42719	12.346446	0.090241671
200	218.36841	16.67439	1687.5367	14.771282	0.12624764
200	177.9084	15.050582	1393.3817	13.857679	0.095843494
200	127.6802	12.750195	839.80754	11.705601	0.076719642
200	145.4826	13.610077	1037.8764	12.561717	0.078944504
200	142.65041	13.476948	983.3366	12.337709	0.074650407
200	166.2906	14.550868	1220.559	13.259283	0.089912534
200	170.04761	14.714324	1259.168	13.397642	0.093462288
200	132.5932	12.993187	860.18341	11.799515	0.085367978
200	175.65421	14.954928	1310.6374	13.577755	0.11272222
200	151.147	13.872503	1045.7938	12.593578	0.085040748
200	161.03081	14.318896	1165.4146	13.056515	0.095226765
200	169.81641	14.704318	1247.1659	13.354938	0.088908851
200	131.20599	12.92504	908.94883	12.018408	0.068316102
200	141.4944	13.42223	989.58462	12.363785	0.077763319
200	126.1196	12.672035	815.62985	11.592172	0.072861254
200	114.3862	12.068183	750.78191	11.276433	0.065737367
200	196.6356	15.822902	1552.5271	14.366364	0.083215833
200	158.25639	14.19501	1175.7626	13.095045	0.073390305
