
Contour in frame 261936 
( 155 , 53 )
( 156 , 53 )
( 157 , 54 )
( 158 , 53 )
( 159 , 53 )
( 160 , 52 )
( 161 , 53 )
( 162 , 53 )
( 163 , 52 )
( 162 , 51 )
( 162 , 50 )
( 162 , 49 )
( 162 , 48 )
( 162 , 47 )
( 162 , 46 )
( 161 , 45 )
( 161 , 44 )
( 161 , 43 )
( 161 , 42 )
( 161 , 41 )
( 161 , 40 )
( 161 , 39 )
( 161 , 38 )
( 162 , 37 )
( 162 , 36 )
( 161 , 35 )
( 161 , 34 )
( 161 , 33 )
( 160 , 32 )
( 160 , 31 )
( 159 , 30 )
( 159 , 29 )
( 159 , 28 )
( 158 , 27 )
( 157 , 27 )
( 156 , 27 )
( 155 , 27 )
( 154 , 27 )
( 153 , 27 )
( 152 , 27 )
( 151 , 26 )
( 150 , 26 )
( 149 , 26 )
( 148 , 26 )
( 147 , 26 )
( 146 , 26 )
( 145 , 26 )
( 144 , 26 )
( 143 , 26 )

Contour in frame 262051 
( 50 , 23 )
( 49 , 24 )
( 48 , 24 )
( 47 , 24 )
( 46 , 24 )
( 45 , 24 )
( 44 , 24 )
( 43 , 25 )
( 42 , 25 )
( 41 , 25 )
( 40 , 25 )
( 39 , 26 )
( 38 , 26 )
( 37 , 26 )
( 36 , 27 )
( 35 , 27 )
( 34 , 28 )
( 33 , 28 )
( 32 , 29 )
( 31 , 30 )
( 30 , 30 )
( 29 , 31 )
( 28 , 31 )
( 27 , 32 )
( 27 , 33 )
( 26 , 34 )
( 26 , 35 )
( 26 , 36 )
( 26 , 37 )
( 25 , 38 )
( 26 , 39 )
( 26 , 40 )
( 26 , 41 )
( 26 , 42 )
( 27 , 43 )
( 28 , 44 )
( 29 , 45 )
( 29 , 46 )
( 30 , 46 )
( 31 , 47 )
( 32 , 48 )
( 33 , 48 )
( 34 , 49 )
( 35 , 49 )
( 36 , 50 )
( 37 , 51 )
( 38 , 51 )
( 39 , 51 )
( 40 , 51 )
( 41 , 52 )
( 42 , 52 )
( 43 , 52 )
( 44 , 53 )
( 45 , 53 )
( 46 , 53 )
( 47 , 53 )
( 48 , 53 )
( 49 , 53 )
( 50 , 53 )
( 51 , 54 )
( 52 , 54 )
( 53 , 54 )
( 54 , 54 )
( 55 , 54 )
( 56 , 54 )
( 57 , 54 )
( 58 , 54 )
( 59 , 54 )
( 60 , 54 )
( 61 , 54 )
( 62 , 53 )
( 63 , 53 )
( 64 , 53 )
( 65 , 52 )
( 66 , 51 )
( 67 , 50 )
( 68 , 49 )
( 68 , 48 )
( 69 , 47 )
( 69 , 46 )
( 70 , 45 )
( 70 , 44 )
( 70 , 43 )
( 71 , 42 )
( 71 , 41 )
( 71 , 40 )
( 71 , 39 )
( 72 , 38 )
( 72 , 37 )
( 72 , 36 )
( 72 , 35 )
( 72 , 34 )
( 72 , 33 )
( 72 , 32 )
( 72 , 31 )
( 72 , 30 )
( 72 , 29 )
( 72 , 28 )
( 73 , 27 )
( 73 , 26 )
( 73 , 25 )
( 72 , 24 )
( 71 , 24 )
( 70 , 24 )
( 69 , 24 )
( 68 , 24 )
( 67 , 24 )
( 66 , 24 )
( 65 , 24 )
( 64 , 24 )
( 63 , 24 )
( 62 , 23 )
( 61 , 24 )
( 60 , 24 )
( 59 , 23 )
( 58 , 24 )
( 57 , 24 )
( 56 , 24 )
( 55 , 23 )
( 54 , 24 )
( 53 , 24 )
( 52 , 24 )
( 51 , 23 )

Contour in frame 262090 
( 184 , 23 )
( 183 , 24 )
( 182 , 24 )
( 181 , 24 )
( 180 , 24 )
( 179 , 24 )
( 178 , 24 )
( 177 , 25 )
( 176 , 25 )
( 175 , 24 )
( 174 , 24 )
( 173 , 25 )
( 172 , 25 )
( 171 , 25 )
( 170 , 26 )
( 169 , 26 )
( 168 , 27 )
( 167 , 27 )
( 166 , 27 )
( 165 , 27 )
( 164 , 27 )
( 163 , 28 )
( 162 , 28 )
( 161 , 29 )
( 160 , 29 )
( 159 , 29 )
( 158 , 30 )
( 157 , 31 )
( 157 , 32 )
( 158 , 32 )
( 159 , 33 )
( 160 , 32 )
( 161 , 33 )
( 162 , 33 )
( 163 , 34 )
( 163 , 35 )
( 163 , 36 )
( 162 , 37 )
( 161 , 37 )
( 160 , 38 )
( 159 , 37 )
( 158 , 37 )
( 157 , 37 )
( 156 , 37 )
( 155 , 38 )
( 154 , 38 )
( 153 , 39 )
( 152 , 39 )
( 153 , 39 )
( 154 , 40 )
( 155 , 41 )
( 156 , 42 )
( 157 , 43 )
( 158 , 43 )
( 159 , 44 )
( 160 , 44 )
( 161 , 45 )
( 161 , 46 )
( 161 , 47 )
( 162 , 48 )
( 163 , 49 )
( 164 , 50 )
( 165 , 50 )
( 166 , 51 )
( 167 , 51 )
( 168 , 52 )
( 169 , 52 )
( 170 , 52 )
( 171 , 53 )
( 172 , 53 )
( 173 , 53 )
( 174 , 54 )
( 175 , 54 )
( 176 , 54 )
( 177 , 54 )
( 178 , 54 )
( 179 , 54 )
( 180 , 55 )
( 181 , 55 )
( 182 , 55 )
( 183 , 55 )
( 184 , 55 )
( 185 , 55 )
( 186 , 55 )
( 187 , 55 )
( 188 , 55 )
( 189 , 55 )
( 190 , 56 )
( 191 , 56 )
( 192 , 56 )
( 193 , 56 )
( 194 , 55 )
( 195 , 55 )
( 196 , 55 )
( 197 , 55 )
( 198 , 55 )
( 199 , 56 )
( 200 , 55 )
( 201 , 55 )
( 202 , 54 )
( 202 , 53 )
( 202 , 52 )
( 202 , 51 )
( 203 , 50 )
( 203 , 49 )
( 203 , 48 )
( 204 , 47 )
( 204 , 46 )
( 204 , 45 )
( 205 , 44 )
( 205 , 43 )
( 205 , 42 )
( 205 , 41 )
( 205 , 40 )
( 205 , 39 )
( 205 , 38 )
( 205 , 37 )
( 205 , 36 )
( 205 , 35 )
( 205 , 34 )
( 205 , 33 )
( 205 , 32 )
( 205 , 31 )
( 205 , 30 )
( 205 , 29 )
( 205 , 28 )
( 205 , 27 )
( 205 , 26 )
