Osmo_mOsm	DiameterA_um	Deformation
200	14.5426	2.5988
200	13.813	2.5565
200	15.7172	2.6694
200	17.2824	2.6125
200	14.4401	2.158
200	13.917	2.1635
200	15.7645	2.5745
200	15.4648	2.6317
200	15.3436	3.2389
200	15.4647	2.4225
200	17.7137	3.1521
200	10.3387	2.0927
200	12.8021	1.4472
200	16.3249	2.7263
200	17.544	2.8886
200	17.3401	3.3333
200	16.5292	3.1145
200	17.04	2.3688
200	15.5218	2.4242
200	15.0133	2.5609
200	16.908	3.4281
200	16.0931	2.6328
200	13.7846	2.7781
200	16.3812	2.5587
200	13.9937	2.1448
200	16.8414	3.2893
200	16.3018	2.4893
200	17.0161	2.3215
200	16.7166	2.8414
200	12.9849	2.0826
200	16.3827	2.8722
200	18.4392	3.6471
200	16.7952	3.0595
200	16.0319	2.3595
200	12.7658	1.6417
200	16.4087	2.8291
200	18.0727	2.7841
200	16.9362	3.0811
200	14.8341	2.3831
200	17.6269	2.5495
200	17.6687	2.5506
200	14.932	2.5995
200	15.1651	2.5804
200	17.4686	2.9759
200	16.6235	3.4985
200	14.5638	2.8344
200	16.214	3.1239
200	13.4784	2.5138
200	16.9273	2.4775
200	16.9095	2.6764
200	14.6326	2.8939
200	16.7277	2.3918
200	15.8551	2.4887
200	15.8351	2.6374
200	14.4954	2.2919
200	15.8932	2.5158
200	15.6936	2.5068
200	16.9437	2.5414
200	16.4554	2.6067
200	16.8563	3.1798
200	17.1149	3.102
200	16.913	2.9237
200	13.5875	2.9904
200	16.8957	2.4235
200	16.6184	2.2655
200	14.5548	4.3883
200	16.5688	2.6856
200	16.1598	2.7684
200	14.5828	2.3898
200	15.5689	2.9341
200	15.0311	2.4959
200	18.0525	2.9725
200	14.7002	2.5524
200	16.0657	3.1687
200	14.5676	2.6594
200	16.7247	2.7084
200	15.1863	2.8739
200	15.728	2.5467
200	17.3177	2.7582
200	15.7303	2.8567
200	17.4301	2.5825
200	15.7828	2.8034
200	13.1653	2.185
200	13.5963	2.3919
200	13.5115	2.5015
200	14.0447	2.3134
200	15.9973	2.7692
200	16.3601	2.3844
200	19.138	2.9574
200	14.9824	3.4314
200	13.7413	2.1551
200	19.1387	2.9007
200	15.0537	2.85
200	14.789	3.2913
200	13.4522	2.3333
200	17.0703	3.0856
200	14.6105	2.6459
200	19.5066	3.6981
200	13.0298	2.7149
200	14.8152	3.0833
200	18.7881	3.0331
200	17.0313	2.7293
200	18.3352	3.0591
200	16.4943	2.1196
200	14.9169	2.1294
200	13.7098	2.9486
200	15.6986	2.1181
200	18.4823	2.9976
200	16.7283	2.4912
200	16.5591	2.4267
200	16.1221	2.7583
200	16.1216	4.2984
200	16.4314	2.6403
200	13.3495	1.9631
200	18.0037	2.8225
200	17.2345	3.6445
200	17.013	3.0028
200	16.2919	2.5189
200	12.5595	2.2947
200	13.707	2.1144
200	14.4605	2.0981
200	16.5035	3.2153
200	12.6317	2.1733
200	12.1675	1.849
200	15.9201	2.1172
200	16.6951	2.6812
200	15.2443	2.9314
200	16.7598	2.6181
200	16.8992	2.6729
200	18.8215	2.8747
200	14.7464	2.3699
200	14.2239	2.4533
200	16.4759	2.4199
200	13.8428	2.7834
200	15.5921	3.1445
200	17.0773	2.7324
200	18.3541	3.1545
200	15.4392	2.8117
200	17.0994	2.7984
200	16.4666	3.707
200	16.7443	3.2698
200	15.7212	2.6453
200	16.4814	2.6732
200	13.7769	2.8962
200	13.6055	2.4602
200	18.5891	2.9385
200	14.6792	3.6852
200	17.78	2.8656
200	13.7671	2.1546
200	14.5144	2.7527
200	17.2723	3.2273
200	16.0346	2.4147
200	14.8017	3.2606
200	17.7253	2.9212
200	14.2169	2.7853
200	16.5499	3.0136
200	15.5176	3.0552
200	13.3112	2.8672
200	15.2504	3.1547
200	16.9708	2.3019
200	15.5511	2.8672
200	15.464	2.7775
200	15.87	2.3132
200	16.2309	2.9103
200	16.6371	3.5326
200	16.7303	3.4373
200	14.8319	2.9408
200	15.6136	2.5241
200	16.4803	2.7956
200	17.4436	2.6204
200	13.9353	2.1689
200	13.083	3.4687
200	14.9744	2.8311
200	16.8294	3.6269
200	17.0863	2.4907
200	16.3365	2.8949
200	16.3191	3.3482
200	15.0768	2.7472
200	16.6371	2.7575
200	15.4149	3.0244
200	17.289	3.0378
200	13.0921	2.6879
200	16.1028	3.1595
200	18.3491	2.9554
200	16.0788	2.5232
200	17.4361	2.7213
200	15.7408	2.7052
200	15.2965	2.8102
200	15.5989	3.119
200	16.57	2.9348
200	16.7677	3.6881
200	14.639	3.1369
200	16.9912	2.2311
200	15.9106	2.435
200	17.8673	3.6117
200	14.8417	2.4254
200	17.2103	2.8788
200	17.0944	2.6099
200	15.8734	2.6194
200	16.7268	2.3942
200	16.5263	2.5504
200	16.6257	2.7507
200	14.1628	2.3521
200	13.8354	3.0989
200	15.3508	2.9944
200	18.1416	3.1658
200	16.911	2.4941
200	15.4028	2.864
200	17.2867	3.0992
200	14.0086	2.4417
200	15.4477	3.1101
200	14.182	2.2837
200	14.1447	2.4079
200	17.3647	3.3056
200	15.7608	2.2565
200	16.3593	2.7729
200	15.2111	2.5276
200	16.5236	2.7709
200	12.8366	1.9582
200	14.7649	2.9231
200	17.3532	2.7384
200	12.8124	2.5424
200	15.3557	2.6871
200	14.778	2.5565
200	16.2195	3.9292
200	16.4462	2.5759
200	15.1129	2.7847
200	16.6483	2.9415
200	13.3218	3.4682
200	14.3313	2.6017
200	17.8592	2.5942
200	16.2061	2.391
200	18.4153	2.8773
200	15.0661	2.6459
200	17.3006	3.1117
200	16.9465	3.0556
200	14.1274	2.9497
200	17.0939	2.2902
200	16.1575	3.0058
200	15.9354	2.5651
200	17.2404	2.6
200	16.8058	3.3278
200	15.9973	2.5341
200	13.5057	2.8771
200	16.7938	2.7086
200	16.8204	3.2918
200	15.3595	2.3542
200	13.4355	2.1388
200	16.3819	2.3706
200	15.9041	2.435
200	16.8917	2.3114
200	17.9726	2.828
200	15.3377	2.5372
200	15.1642	2.6236
200	10.3541	2.2642
200	14.5267	2.8154
200	16.7475	2.4141
200	14.5076	2.926
200	16.1064	3.1344
200	16.4537	2.564
200	14.8309	2.5967
200	17.0273	3.4611
200	13.6036	3.0577
200	16.9142	3.2424
200	15.7817	3.1196
200	17.0842	3.2316
200	17.1213	2.9222
200	17.0689	2.7833
200	17.9207	2.3153
200	16.8016	2.5285
200	13.2923	2.3729
200	12.9261	2.2476
200	16.3121	2.7756
200	14.3681	2.5226
200	15.1521	2.3739
200	16.8578	3.2956
200	17.0268	2.8349
200	15.4748	2.5075
200	17.8699	2.7146
200	15.8618	3.76
200	14.8089	2.6997
200	14.2082	2.0245
200	14.0636	2.1635
200	16.649	3.2425
200	13.1963	2.7546
200	14.1787	2.4113
200	13.8043	2.6328
200	14.5826	3.1994
200	16.3504	2.4658
200	16.3042	2.5694
200	17.1744	2.1548
200	17.1115	2.4753
200	15.2564	3.0648
200	17.3016	3.8444
200	13.4397	3.4863
200	16.2517	3.4294
200	17.2987	3.3832
200	15.0318	3.1586
200	16.9152	2.9319
200	16.5583	2.7015
200	16.5347	2.4742
200	14.3957	2.7795
200	15.5477	3.0611
200	16.7027	2.4871
200	16.3767	2.7351
200	17.7805	2.7236
200	12.9778	3.0987
200	16.6828	2.9735
200	14.8084	3.2653
200	16.2834	3.2895
200	17.5692	3.0218
200	17.0306	2.5697
200	9.6917	1.3088
200	17.6214	2.5189
200	16.9478	2.3651
200	14.9089	3.4037
200	18.8306	3.3041
200	15.8966	2.7472
200	16.2273	2.5063
200	17.2308	3.7195
200	14.1766	2.1662
200	16.8988	2.8118
200	13.6358	2.7569
200	16.6601	3.1658
200	15.2396	3.0652
200	13.8249	2.7591
200	13.4216	2.2616
200	15.7115	2.8256
200	18.0575	3.5249
200	13.4536	2.0952
200	17.4073	3.573
200	13.1461	2.3804
200	15.03	2.8112
200	14.3904	2.2203
200	16.0111	2.6264
200	16.533	3.0878
200	13.743	2.8704
200	16.6002	3.1528
200	16.5447	2.673
200	16.9191	2.643
200	16.7551	2.3535
200	16.7145	2.768
200	16.3372	3.2213
200	17.1461	2.6927
200	13.2326	2.2291
200	14.3585	2.3585
200	18.302	2.9598
200	16.0261	2.6441
200	18.6442	3.1203
200	13.0523	2.2849
200	17.0567	2.772
200	18.9215	2.4778
200	17.2654	2.2207
200	16.6995	2.6087
200	16.2358	2.8692
200	16.5361	2.3522
200	16.6306	3.5311
200	12.5277	2.0868
200	18.703	2.8184
200	16.1468	2.2695
200	16.3103	2.3093
200	13.8259	3.0468
200	13.02	2.6913
200	14.7496	2.7309
200	16.9842	2.8159
200	16.9717	2.6722
200	15.94	2.9239
200	16.4246	2.2551
200	16.2505	2.9518
200	17.4681	2.9946
200	13.2295	3.0976
200	13.4586	2.1586
200	14.2107	2.5069
200	20.1665	4.1618
200	15.351	2.3215
200	7.1942	2.5242
200	13.8343	2.8371
200	17.1062	2.7448
200	17.3864	3.3737
200	16.9991	2.5059
200	15.8071	2.1868
200	15.9308	2.8229
200	13.9091	2.0085
200	16.821	2.9245
200	14.6758	2.3398
200	18.2418	4.3344
200	15.6845	2.3134
200	14.7175	2.4251
200	16.2286	2.9264
200	16.8587	2.5744
200	15.5262	2.4476
200	17.1702	2.4292
200	20.0437	3.8158
200	17.1435	2.3326
200	14.2687	2.7988
200	16.1833	2.9529
200	17.4238	2.777
200	16.9886	2.3151
200	15.718	2.4121
200	13.7338	2.0927
200	16.5029	2.6703
200	15.6505	2.2982
200	16.6609	2.0997
200	17.6715	3.3916
200	17.4417	2.4658
200	16.2518	2.6477
200	15.4751	2.8856
200	15.6545	3.0322
200	13.7218	2.7278
200	12.7598	3.1347
200	14.1098	3.4621
