Osmo_mOsm	DiameterA_um	Deformation
200	13.1285	1.8567
200	13.0525	1.9108
200	15.9107	1.9266
200	16.9078	1.8306
200	14.5533	1.4903
200	12.8286	1.4804
200	16.706	2.0082
200	12.8193	1.6402
200	14.5729	1.6535
200	16.4583	2.0855
200	13.745	1.7535
200	16.44	1.876
200	16.903	1.8329
200	16.4308	1.799
200	14.7484	2.0583
200	16.1989	1.8333
200	17.1161	1.8508
200	14.148	1.9608
200	13.9379	2.0853
200	13.7169	1.7337
200	16.3433	1.8351
200	16.357	1.6794
200	12.5382	1.406
200	12.8635	1.7343
200	13.0321	1.7547
200	14.3132	1.7696
200	13.0481	1.7077
200	15.9491	3.5061
200	14.1948	1.9722
200	16.4889	2.297
200	14.0881	2.0129
200	15.8523	1.5976
200	15.309	3.2784
200	13.193	1.8031
200	13.5721	1.6022
200	12.4335	1.4254
200	16.9079	1.5639
200	17.0842	3.8806
200	20.5166	2.859
200	16.1163	2.161
200	16.6842	1.8205
200	16.6554	1.7929
200	15.0457	1.843
200	15.4975	1.712
200	16.4994	1.8849
200	17.6587	2.0731
200	18.0662	1.9068
200	13.3713	1.6791
200	16.5584	1.7208
200	15.6972	1.5498
200	13.2169	1.513
200	17.2016	1.8568
200	16.4041	1.8605
200	16.6929	1.9108
200	16.7371	2.1696
200	16.2497	1.9046
200	14.41	1.8299
200	14.5724	1.7721
200	17.4469	1.8774
200	16.4023	1.8613
200	13.2079	2.4022
200	15.8876	1.4881
200	15.366	1.7514
200	16.7691	1.9755
200	16.6047	2.1116
200	20.4306	1.9464
200	7.0406	2.6172
200	16.655	1.9807
200	16.9887	1.9002
200	13.9036	1.7584
200	13.3732	1.5287
200	18.5448	2.1899
200	14.739	1.779
200	13.8014	1.7131
200	13.8871	2.3693
200	15.7291	1.6
200	15.9923	1.8067
200	15.0061	1.7434
200	14.3129	1.7258
200	16.2559	1.9593
200	12.903	1.4468
200	16.7098	1.798
200	12.5602	1.5769
200	16.3929	2.0438
200	14.8022	1.9305
200	14.1046	1.6799
200	13.2419	1.804
200	14.9957	1.8314
200	15.6899	1.9915
200	15.0105	1.7806
200	13.068	1.8301
200	17.7103	1.8662
200	19.1236	1.7966
200	10.2485	1.8101
200	13.5284	1.7154
200	15.9319	3.1032
200	14.4703	1.6919
200	15.0292	2.0643
200	14.0424	1.7248
200	16.9432	1.8393
200	16.5276	2.1765
200	15.2466	1.9395
200	15.8538	1.7826
200	16.503	1.7237
200	18.8727	1.9954
200	16.3492	1.9919
200	16.7355	1.7968
200	14.5459	1.6541
200	16.9617	1.787
200	15.368	1.7746
200	13.2507	1.6953
200	15.262	2.9129
200	14.5954	1.9231
200	16.8529	1.9032
200	13.2288	2.3593
200	14.9682	1.9945
200	12.8372	1.4688
200	13.2013	1.5586
200	14.8509	1.7493
200	13.7722	1.5886
200	12.9435	1.5546
200	16.2428	1.6927
200	17.878	2.3072
200	15.2302	1.7727
200	16.2752	1.7573
200	13.0317	1.5187
200	13.168	1.9226
200	12.9064	1.7859
200	13.3613	2.1631
200	14.0443	1.8602
200	13.7371	1.7019
200	16.486	1.7306
200	15.1066	1.9027
200	17.9933	1.9504
