Osmo_mOsm	DiameterA_um	Deformation
200	14.9326	2.3972
200	16.0153	2.3694
200	15.3793	2.7031
200	12.9253	3.0136
200	14.5746	2.5977
200	14.8931	3.1246
200	16.2239	2.1759
200	14.4623	2.1684
200	17.7316	2.9338
200	11.9368	2.1405
200	17.1928	3.053
200	16.0946	2.8475
200	14.4862	2.4448
200	17.0845	1.9726
200	14.5079	2.5412
200	18.0984	2.8019
200	14.3277	2.775
200	14.8159	2.631
200	13.6292	1.9887
200	13.8143	2.6604
200	14.7671	2.2561
200	14.0419	2.1077
200	16.7332	2.7174
200	12.3994	2.3
200	16.7295	2.2934
200	13.5317	2.4576
200	18.1961	2.6849
200	15.5332	3.2875
200	17.7357	2.3377
200	16.8746	3.4249
200	16.4667	2.7357
200	14.4419	3.1122
200	11.6291	1.8596
200	15.775	2.5652
200	17.132	3.0157
200	14.6576	2.5819
200	17.8217	2.9831
200	17.7507	2.7524
200	16.5156	3.7019
200	12.6857	2.0992
200	17.7507	2.9218
200	15.8345	2.5698
200	14.4134	2.6949
200	14.6179	2.5876
200	13.9839	2.1773
200	13.8391	2.258
200	13.8023	2.2493
200	17.3397	2.4181
200	13.0437	2.2748
200	12.9733	2.1634
200	16.2613	2.4881
200	15.2493	2.3759
200	14.6679	2.0318
200	12.3045	2.169
200	16.8641	2.5519
200	15.4619	2.4959
200	14.8165	2.4703
200	13.379	2.2169
200	13.6486	2.6395
200	8.1936	1.5588
200	6.5545	1.8797
200	17.1601	2.5986
200	15.6245	3.3422
200	12.5772	2.1833
200	14.1774	2.3134
200	14.4665	2.6204
200	14.671	3.0453
200	14.7895	2.1412
200	13.4798	3.2007
200	14.7477	2.1726
200	12.7066	2.1295
200	12.5333	2.0142
200	12.2884	2.1104
200	14.4536	2.6837
200	15.0341	2.8513
200	15.9683	2.2391
200	12.8009	2.2514
200	14.9133	1.9243
200	14.5352	2.6232
200	13.2572	2.4249
200	14.9103	2.6034
200	16.4238	2.3146
200	16.0663	3.109
200	15.3962	2.7302
200	17.9394	3.1204
200	14.5157	2.8169
200	11.7893	1.9778
200	13.9952	2.3946
200	12.5941	2.4103
200	14.3469	2.3729
200	14.2313	2.9013
200	10.5122	2.1483
200	14.3467	2.4441
200	14.911	2.1071
200	12.8423	2.1864
200	15.4396	2.1332
200	14.4364	2.2527
200	16.0141	2.3897
200	17.3179	3.0872
200	15.447	2.2474
200	11.2031	1.789
