Osmo_mOsm	DiameterA_um	Deformation
200	15.1175	2.265
200	15.0902	2.1553
200	15.7753	2.017
200	15.696	1.934
200	17.2343	2.1595
200	13.2658	1.891
200	18.015	2.5879
200	16.141	2.4517
200	14.1942	2.135
200	16.0004	2.0242
200	17.8803	2.0282
200	16.9275	2.7509
200	16.2962	2.4669
200	17.9986	2.4586
200	14.7828	2.1438
200	17.3012	2.2552
200	14.2235	2.0547
200	14.5125	2.0054
200	18.5787	3.1707
200	14.5343	1.9346
200	14.6399	1.8303
200	16.4352	2.3355
200	15.7061	2.0649
200	13.7937	2.0643
200	14.4128	1.9642
200	14.4313	1.9623
200	14.4382	2.2125
200	22.8037	2.6226
200	13.6126	1.9603
200	15.7204	2.4213
200	13.5561	2.1479
200	14.792	2.2997
200	14.3387	2.2917
200	14.1364	2.1324
200	14.8328	1.9348
200	15.4717	2.3187
200	14.7331	2.2397
200	20.8475	2.2759
200	11.6628	1.8179
200	14.319	2.135
200	15.0991	1.9002
200	14.9227	2.2345
200	13.5414	2.1983
200	16.8639	2.2677
200	14.1044	2.17
200	16.8548	2.3734
200	15.2372	2.2725
200	15.7541	2.1589
200	14.5759	1.8992
200	15.4932	2.7028
200	15.5996	2.8757
200	16.9919	2.217
200	13.9628	1.7584
200	16.6656	2.3424
200	15.4534	2.8634
200	14.7684	2.0026
200	18.1233	3.0876
200	15.2414	2.3102
200	14.9407	2.1308
200	17.6509	2.7078
200	14.207	2.1188
200	17.2139	2.2042
200	15.2024	2.5078
200	17.5029	2.2474
200	14.1254	2.0282
200	13.6796	2.6321
200	13.0391	1.9838
200	14.3576	2.1329
200	14.172	1.9863
200	17.2345	2.6649
200	16.0004	2.455
200	15.8652	2.0637
200	16.5437	2.3632
200	14.5193	2.4767
200	14.6194	2.0313
200	16.942	1.9574
200	17.2358	2.1271
200	19.0799	2.6998
200	17.1753	2.6543
200	14.8324	2.1223
200	16.1618	2.3712
200	14.6791	2.0978
200	14.8918	2.2191
200	17.4779	2.0547
200	18.2492	2.5903
200	14.7686	1.9319
200	15.2355	2.44
200	9.4706	1.2129
200	15.9615	2.055
200	14.9697	2.0407
200	18.4388	3.0604
200	16.1496	2.3512
200	14.6694	2.2125
200	15.8952	2.4986
200	12.8239	1.6343
200	13.7902	2.0368
200	15.2294	2.2262
200	15.8532	2.573
200	17.8615	2.603
200	15.719	3.3099
200	14.4984	1.8728
200	16.0771	1.8251
200	17.0579	2.1602
200	15.1585	2.8045
200	17.5912	2.4671
200	9.9036	2.284
200	16.1686	2.1875
200	14.7052	1.9301
200	17.231	2.3168
200	19.0709	2.539
200	13.8419	1.9974
200	15.137	2
200	16.4235	2.7422
200	14.6559	1.9052
200	16.6258	2.8289
200	15.0405	2.3167
200	18.6063	2.275
200	15.205	3.4084
200	15.752	2.0563
200	13.6159	2.3815
200	18.6321	2.4239
200	14.8705	2.2633
200	15.2746	2.5807
200	13.3652	1.9689
200	15.2706	2.0067
200	14.5221	1.8451
200	13.9982	2.1908
200	19.4372	2.2851
200	17.9189	2.3535
200	14.6882	1.8515
200	14.8522	2.079
200	14.8704	1.7758
200	15.7073	2.0745
200	15.1481	1.9488
200	14.3658	1.9242
200	17.0575	2.7367
200	17.571	2.822
200	14.6948	1.9876
200	14.0994	2.1722
200	15.4521	2.4419
200	18.0782	3.0462
200	15.5641	2.099
200	14.4008	1.9622
200	18.1374	2.9278
200	14.6579	2.0936
200	18.0356	2.3854
200	14.8206	2.3428
200	15.6543	2.279
200	18.2529	2.1766
200	14.6332	2.2238
200	13.9934	1.6756
200	8.6806	1.0579
200	13.9914	2.0994
200	15.406	2.6062
200	17.2051	2.3499
200	17.5175	2.4229
200	15.2929	2.3278
200	13.9142	2.0212
200	16.5596	2.8641
200	15.8591	2.1586
200	17.4142	3.1554
200	18.8541	3.0622
200	15.7852	2.4846
200	12.4885	1.9521
200	14.7732	2.4598
200	14.4953	2.0695
200	15.8751	1.948
200	13.8527	2.1983
200	16.8468	2.1671
200	14.597	1.9915
200	15.9123	2.0743
200	17.077	2.9091
200	14.1508	1.7745
200	17.1988	2.1627
200	17.7273	2.1772
200	14.7754	2.3711
200	16.8641	2.7057
200	17.1679	2.1409
200	12.5222	1.6402
200	14.1948	2.2971
200	14.8727	2.0899
200	17.6168	2.5874
200	16.2119	2.5512
200	15.0413	2.2141
200	14.1928	2.5847
200	15.1824	2.1046
200	15.9958	2.1638
200	14.9984	2.1216
200	18.5286	2.3281
200	14.4867	2.0745
200	15.2191	2.064
200	12.5485	1.7937
200	13.3011	2.0538
200	16.6597	1.9977
200	18.4827	2.4138
200	15.5835	1.9113
200	14.8179	1.9346
200	15.43	1.9906
200	13.7087	2.1717
200	13.8298	2
200	15.4957	2.4153
200	18.4359	2.4608
200	13.0897	2.1336
200	16.1764	2.9717
200	18.2835	2.0576
200	16.612	2.6906
200	15.1762	1.9173
200	14.8567	2.4771
200	15.0055	2.3483
200	15.0133	2.1638
200	14.96	2.0185
200	14.4232	2.1139
200	14.9788	2.0393
200	14.1877	2.1635
200	13.9651	2.1016
200	17.1966	2.065
200	13.4275	2.0028
200	13.9585	1.7173
200	14.1755	1.9298
200	15.6582	2.5932
200	15.3494	2.6147
200	18.0275	2.4776
200	14.4623	2.2085
200	15.927	2.5
200	14.8489	2.2289
200	16.2811	2.5122
200	15.4754	2.0235
200	14.2266	2.415
200	18.6794	2.2998
200	12.3352	1.4332
200	14.857	2.2141
200	14.0904	2.0035
200	16.2154	2.2281
200	14.5136	2.0623
200	14.4127	1.9876
200	14.4866	1.432
200	16.6509	2.2314
200	13.5449	1.9887
200	20.7847	2.8427
200	18.5496	2.6582
200	14.3922	2.1098
200	14.6398	2.8187
200	14.4838	1.8649
200	14.9195	2.164
200	15.8496	2.2362
200	14.9161	2.0514
200	14.6626	2.169
200	17.5955	2.8703
200	14.2329	2.4528
200	15.0531	2.423
200	14.5926	1.9011
200	14.0187	2.7687
200	19.7963	2.4591
200	16.2442	2.1608
200	17.3202	2.3174
200	17.3368	2.4444
200	14.5577	2.0436
200	16.3264	1.9773
200	16.2536	2.762
200	16.4828	2.9669
200	14.5557	2.288
200	15.4678	2.395
200	14.8401	2.2366
200	14.394	2.1167
200	14.5131	2.2153
200	15.1712	2.455
200	14.311	2.1444
200	14.8172	2.5583
200	18.6117	3.2715
200	18.4913	3.2571
200	16.5746	2.4383
200	18.1623	2.9652
200	15.0617	2.0131
200	14.0366	2.101
200	14.8889	2.2436
200	17.7911	2.2127
200	16.7772	2.2767
200	18.5399	3.2062
200	14.7999	2.0374
200	14.888	2.4523
200	15.7475	2.4308
200	14.3821	1.8886
200	16.5248	2.8501
200	15.7333	2.5949
200	15.1115	2.0954
200	17.2718	2.358
200	16.1646	2.1147
200	14.1572	1.8482
200	18.0399	2.2146
200	14.884	2.1117
200	14.1544	1.903
200	18.2927	2.8821
200	15.4649	2.4722
200	14.0934	3.1158
200	14.0898	2.7548
200	17.2602	2.3838
200	14.4624	2.278
200	14.3755	2.0459
200	12.4492	1.7762
200	14.8984	2.0899
200	16.2787	2.2097
200	18.4219	2.7388
200	17.3571	2.2887
200	14.2784	2.076
200	14.361	2.221
200	17.9783	2.271
200	17.3627	1.9977
200	16.5105	2.6346
200	16.7684	2.8358
200	14.9721	2.1778
200	18.7105	2.5515
200	15.8271	2.1514
200	13.8812	2.1214
200	14.5389	2.1515
200	14.4547	2.0212
200	13.4569	1.8249
200	14.6803	2.1044
200	13.0593	1.9647
200	15.3049	2.1972
200	14.9008	2.1351
200	17.0536	2.6247
200	14.0811	1.7832
200	16.434	2.4167
200	17.65	2.1678
200	17.6744	3.0028
200	13.9873	1.7896
200	17.2347	2.6892
200	18.663	2.3576
200	18.0139	2.9669
200	15.3977	2.1281
200	18.3882	3.0552
200	14.2922	1.8661
200	14.5621	1.9226
200	15.2701	2.511
200	14.6768	2.017
200	13.5448	1.969
200	13.5892	2.2126
200	14.6762	2.123
200	16.3979	2.1973
200	13.4521	2.1048
200	14.3096	2.4164
200	17.3966	2.3774
200	15.6253	2.1313
200	17.3348	3.3056
200	17.0011	2.8889
200	12.9494	1.8174
200	14.4989	1.9528
200	14.5439	1.9641
200	15.2056	1.8963
200	17.4712	2.3129
200	15.5819	2.1165
200	14.9062	2.2943
200	16.0843	2.6322
200	14.9788	1.9947
200	15.1456	2.0708
200	14.5272	2.4747
200	15.4668	3.4094
200	15.3366	2.7887
200	18.3654	2.1698
