Conc_ugperml	DiameterA_um	Deformation
0	12.265	2.2614
0	16.3809	1.9905
0	9.0582	2.23
0	13.0884	2.0085
0	16.5532	2.981
0	14.5835	2.0331
0	18.6195	2.7012
0	14.3072	1.9972
0	20.3843	2.814
0	14.4456	2.0805
0	14.1234	2.0113
0	14.58	2.051
0	16.4366	2.4753
0	14.1246	2.8557
0	14.3164	2.2062
0	15.3238	2.4358
0	18.8395	3.7201
0	15.0921	2.0612
0	15.5984	2.4755
0	15.6411	2.0519
0	15.2012	2.5876
0	15.2051	2.3674
0	14.3917	2.1728
0	16.0614	2.0329
0	13.2194	2.2219
0	14.8252	1.8833
0	14.7126	2.3444
0	14.2131	2.5443
0	16.2707	2
0	17.1727	2.4943
0	14.321	2.1144
0	15.9843	2.5949
0	14.7688	2.3122
0	19.6476	2.6465
0	14.8965	2.3211
0	14.7231	2.4056
0	13.5677	2.3248
0	18.276	2.89
0	13.9797	1.9689
0	11.8125	2.011
0	11.9735	1.9773
0	16.9958	3.3452
0	11.1847	1.6431
0	14.0137	3.1414
0	13.9011	1.7533
0	14.2355	2.0484
0	14.7592	2.8843
0	18.0519	3.3484
0	14.9844	2.5096
0	16.2884	2.7962
0	13.6005	2.7541
0	14.4671	2.0813
0	14.5887	2.2779
0	15.8279	2.0113
0	12.0868	1.7725
0	15.3727	1.9125
0	14.3759	2.7306
0	14.5617	2.4334
0	13.8378	2.588
0	19.0974	3.0694
0	12.81	2.2791
0	14.689	2.2647
0	14.667	2.053
0	14.0125	2.2264
0	14.2689	3.3016
0	14.6639	2.2063
0	13.9913	2.2034
0	15.8941	2.4946
0	15.349	2.5847
0	16.81	3.3814
0	11.0122	1.3161
0	13.4493	1.8329
0	15.2245	3.7074
0	15.0202	2.6328
0	15.8923	2.3079
0	12.272	2.1588
0	15.7389	3.1111
0	13.7301	2.1808
0	17.1705	2.4853
0	19.9682	3.1778
0	13.3644	2.3116
0	13.8776	2.2805
0	18.4985	2.1922
0	14.7129	1.9399
0	14.435	2.081
0	18.0673	2.4871
0	15.394	2.5278
0	15.0045	2.9712
0	17.5277	2.2945
