Conc_ugperml	DiameterA_um	Deformation
0	13.0956	1.6982
0	15.9603	2.7064
0	13.9355	2.1417
0	14.8674	2.262
0	16.0395	2.9083
0	11.9359	1.8146
0	18.5247	2.4603
0	14.5479	2.2004
0	20.2438	3.0183
0	12.8747	1.9649
0	15.0359	2.5596
0	13.6969	2.2542
0	14.035	2.569
0	15.6691	2.0207
0	13.3634	2.791
0	15.8356	2.261
0	14.7693	2.1444
0	13.3954	2.5257
0	13.2354	2.2839
0	13.8827	2.1281
0	16.7443	3.0085
0	14.251	2.1826
0	15.063	2.5843
0	15.0327	2.5262
0	11.7043	2.3927
0	16.7584	1.7624
0	14.6286	2.3634
0	14.7366	2.6856
0	16.8267	2.1549
0	14.3795	2.088
0	19.2422	4
0	16.5005	2.6757
0	13.2003	2.7472
0	14.0222	2.8021
0	15.1209	2.4252
0	16.5054	2.5026
0	14.3654	3.0772
0	18.2671	2.2922
0	14.4287	2.443
0	14.6097	3.8994
0	12.923	1.9111
0	14.5747	2.71
0	17.21	2.6133
0	14.9665	2.3531
0	15.2823	3.1302
0	14.8138	3.0325
0	15.7426	2.3261
0	15.1841	2.5027
0	16.121	1.9653
0	17.0413	2.1466
0	15.3118	2.3653
0	13.7308	2.728
0	15.7123	2.4279
0	12.8927	2.2058
0	19.0505	2.5579
0	14.2734	2.4862
0	17.7748	2.1962
0	13.4164	2.0142
0	13.3246	2.2153
0	13.8699	2.8834
0	13.0289	1.6943
0	17.1467	3.1772
0	12.4645	2.84
0	19.5887	3.0227
0	14.558	2.7949
0	16.9739	2.6211
0	13.3945	3.5286
0	13.8406	2.6062
0	11.4415	2.0314
0	14.6834	2.8913
0	13.4609	2.2054
0	19.193	3.2199
0	13.6074	1.9405
0	16.5266	3.1744
0	14.32	2.3717
0	14.6011	2.5427
0	14.6708	2.4928
0	19.6698	3.2542
0	13.4902	2.4821
0	12.5012	2.4487
0	14.482	2.4594
0	19.0921	2.4539
0	14.4732	2.0025
0	15.8145	2.9227
0	17.1699	2.539
