Conc_ugperml	DiameterA_um	Deformation
0	13.1246	2.3386
0	15.1532	2.4227
0	13.4484	2.048
0	17.2228	2.6559
0	14.0402	2.7363
0	15.3394	2.2966
0	16.9035	2.1915
0	14.4153	2.1622
0	13.1349	2.2187
0	12.5843	2.273
0	13.9873	2.1416
0	17.1168	2.7363
0	13.5227	2.3009
0	16.1997	2.4878
0	13.2247	2.5
0	13.1045	2.2624
0	13.1582	1.768
0	15.1401	2.1356
0	13.4214	2.2408
0	14.7685	2.8194
0	14.1421	2.1751
0	15.551	2.3136
0	13.2556	2.1107
0	15.5336	2.1387
0	12.6415	2.6795
0	16.8877	2.0071
0	13.9739	2.9309
0	15.6389	3.0486
0	13.0136	2.239
0	15.654	2.0875
0	13.6848	2.2058
0	13.7381	1.8403
0	13.9905	1.9103
0	12.1059	1.8555
0	13.8235	2.1785
0	14.007	2.1402
0	14.79	2.6705
0	8.7793	1.3176
0	15.5133	3.4396
0	16.3436	2.0746
0	12.4797	1.813
0	14.9848	2.1727
0	15.2004	2.1402
0	17.6996	2.4988
0	14.2925	2.5235
0	14.5276	2.3295
0	13.3685	2.1615
0	16.4053	2.5326
0	12.8666	2.0265
0	15.0468	2.387
0	14.4274	2.8831
0	13.4613	2.2347
0	12.5699	2.1438
0	14.017	2.6495
0	14.0046	1.8609
0	14.123	2.3052
0	14.5981	2.2507
0	16.6602	2.6366
0	16.2077	2.4339
0	14.5435	2.0565
0	13.1906	3.1279
0	13.3845	2.5583
0	12.7599	1.7143
0	14.6247	2.8033
0	15.6987	2.7784
0	13.7528	2.0222
0	14.6948	2.1739
0	13.4829	2.0997
0	16.0469	2.5
0	14.54	2.2405
0	13.2134	2.1682
0	15.2225	2.8054
0	13.4131	1.9293
0	15.801	2.4455
0	15.8054	1.9953
0	13.5694	2.2583
0	16.7845	2.32
0	15.7075	2.3192
0	14.887	2.5731
0	18.6465	2.9645
0	16.1924	2.538
0	16.8182	2.8697
0	14.6572	2.1409
0	15.9953	2.3451
0	16.6316	2.3895
0	17.4709	2.4282
0	13.8554	2.5673
0	12.6477	2.0528
0	14.0843	2.373
0	15.8614	2.5429
0	13.2056	3.9145
0	14.6651	2.4543
0	13.1323	2.1869
0	11.1048	2.1717
0	14.256	2.4868
0	14.2624	2.1522
0	10.8794	1.6881
0	14.8595	2.6479
0	13.7322	2.5
0	14.0307	2.6013
0	15.5948	2.0378
0	14.3803	2.5203
0	16.6598	2.2057
0	16.1738	2.1233
0	17.2443	2.7548
0	13.3459	2.1796
0	14.088	2.2948
0	12.9994	1.8802
0	12.8358	1.8051
0	13.4633	2.034
0	16.7456	2.439
0	14.2837	2.1798
0	12.8784	2.8127
0	16.6275	2.5014
0	16.8297	1.9846
0	13.7183	1.9592
0	12.1666	2.0129
0	14.5053	2.2143
0	14.1822	2.9634
0	16.9113	3.1634
0	13.8612	2.1836
0	13.0599	2.235
0	12.7394	2.0451
0	15.2061	2.5272
0	12.2316	1.8408
0	12.6381	2.364
0	16.0262	2.5583
0	14.6914	2.5887
0	13.0979	2.2268
0	16.6443	2.6812
0	14.0392	2.1227
0	12.9283	2.5409
0	15.7285	2.283
0	14.6699	2.4696
0	13.8067	2.1512
0	16.3009	2.1625
0	13.5106	2.3628
0	14.9132	3.3173
0	16.0278	2.4804
0	13.41	2.2943
0	13.4294	2.5945
0	14.7766	2.6154
0	16.3411	3.6442
0	12.865	2.038
0	13.1302	2.4566
0	18.7593	2.6905
0	12.9315	2.8803
0	13.5453	2.3977
0	15.9657	2.4357
0	14.1629	2.3144
0	17.1173	2.6791
0	13.0574	2.4793
0	13.1636	2.204
0	14.953	1.8899
0	16.4552	2.8159
0	15.0864	2.3747
0	13.6103	2.2566
0	14.8796	2.9413
0	17.0568	2.7278
0	11.7811	2.0833
0	13.983	2.0968
0	12.4468	2.1029
0	14.4011	2.4059
0	13.1953	2.0394
0	13.8389	2.6313
0	13.411	2.2894
0	15.9909	2.6884
0	16.6353	2.6585
0	13.9598	3.5294
0	16.8915	3.1756
0	14.2158	2.0761
0	13.3899	2.0056
0	13.9055	2.0972
0	16.6236	2.8784
0	11.9904	1.9199
0	16.4139	2.7182
0	14.2059	2.1518
0	13.0532	2.5531
0	15.8979	2.2873
0	12.6851	2.8033
0	13.2291	2.0142
0	18.0851	2.8077
0	15.0699	2.6403
0	16.4002	3.3926
0	15.0147	2.3025
0	14.3635	2.3876
0	12.9362	2.4882
0	16.7786	2.1281
0	13.6044	2.7611
0	18.8348	2.8156
0	14.6416	2.5102
0	13.4063	2.1657
0	12.3076	2.4318
0	13.7789	1.8121
0	14.8185	2.346
0	13.5706	1.842
0	13.9221	2.4263
0	11.6928	2.2521
0	15.19	2.3406
0	13.9058	2.1549
0	14.571	2.4427
0	13.8833	3.4167
0	14.844	3.4119
0	16.0151	2.9221
0	14.3691	2.6129
0	16.6364	2.3019
0	14.5103	2.1575
0	13.629	2.5048
0	15.9492	2.271
0	14.0294	2.7276
0	13.4034	1.9198
0	14.6938	2.1553
0	14.738	2.1756
0	14.2322	2.6977
0	16.8493	2.1418
0	15.4979	2.1717
0	13.8096	2.0161
0	13.2777	1.9504
0	13.5649	2.1352
0	12.425	2.1833
0	13.8489	2.0394
