Conc_ugperml	FrequencyShift_Hz	Volume_um^3	DiameterV_um	PassageTime_s	Deformability_inverseSec
0.0000    	27.1212   	941.9206  	12.1620   	0.0242    	41.3866   
0.0000    	7.0131    	243.5650  	7.7483    	0.0120    	83.5208   
0.0000    	24.1444   	838.5356  	11.6997   	0.0233    	42.8932   
0.0000    	21.3934   	742.9920  	11.2373   	0.0210    	47.6108   
0.0000    	42.1918   	1465.3228 	14.0922   	0.0457    	21.8975   
0.0000    	38.6460   	1342.1763 	13.6858   	0.0333    	30.0586   
0.0000    	31.8532   	1106.2615 	12.8318   	0.0287    	34.8942   
0.0000    	28.6588   	995.3195  	12.3876   	0.0237    	42.1993   
0.0000    	28.7162   	997.3141  	12.3959   	0.0248    	40.3151   
0.0000    	18.8145   	653.4276  	10.7663   	0.0193    	51.8493   
0.0000    	46.8435   	1626.8753 	14.5921   	0.0628    	15.9208   
0.0000    	34.0634   	1183.0224 	13.1219   	0.0410    	24.3855   
0.0000    	37.5881   	1305.4356 	13.5598   	0.0424    	23.6029   
0.0000    	40.8860   	1419.9697 	13.9453   	0.1097    	9.1165    
0.0000    	35.3366   	1227.2400 	13.2834   	0.0337    	29.6411   
0.0000    	43.8604   	1523.2722 	14.2756   	0.0544    	18.3991   
0.0000    	27.4426   	953.0827  	12.2099   	0.0245    	40.8274   
0.0000    	37.1693   	1290.8903 	13.5092   	0.0422    	23.6743   
0.0000    	29.6980   	1031.4127 	12.5356   	0.0265    	37.7051   
0.0000    	38.1514   	1324.9997 	13.6272   	0.0420    	23.7887   
0.0000    	32.3188   	1122.4334 	12.8940   	0.0286    	34.9302   
0.0000    	35.5270   	1233.8535 	13.3073   	0.0393    	25.4427   
0.0000    	41.5359   	1442.5429 	14.0188   	0.0488    	20.4863   
0.0000    	42.5774   	1478.7120 	14.1350   	0.0510    	19.5920   
0.0000    	39.3179   	1365.5118 	13.7647   	0.0359    	27.8555   
0.0000    	30.9853   	1076.1212 	12.7142   	0.0269    	37.1181   
0.0000    	26.1176   	907.0644  	12.0101   	0.0230    	43.4180   
0.0000    	38.2524   	1328.5074 	13.6392   	0.0382    	26.1557   
0.0000    	31.2499   	1085.3104 	12.7502   	0.0255    	39.1966   
0.0000    	22.7799   	791.1450  	11.4750   	0.0194    	51.6038   
0.0000    	33.4082   	1160.2673 	13.0373   	0.0306    	32.6436   
0.0000    	29.8747   	1037.5492 	12.5604   	0.0256    	39.0362   
0.0000    	24.1460   	838.5892  	11.6999   	0.0210    	47.6703   
0.0000    	21.4508   	744.9850  	11.2473   	0.0212    	47.1401   
0.0000    	69.6316   	2418.3043 	16.6534   	0.0655    	15.2654   
0.0000    	41.1126   	1427.8405 	13.9710   	0.0422    	23.7019   
0.0000    	26.2650   	912.1828  	12.0326   	0.0257    	38.8375   
0.0000    	54.7163   	1900.2981 	15.3677   	0.1016    	9.8393    
0.0000    	24.8050   	861.4791  	11.8054   	0.0224    	44.5851   
0.0000    	47.0332   	1633.4634 	14.6118   	0.0809    	12.3607   
0.0000    	38.3397   	1331.5384 	13.6496   	0.0455    	21.9906   
0.0000    	46.7336   	1623.0587 	14.5807   	0.0742    	13.4692   
0.0000    	41.7281   	1449.2175 	14.0404   	0.0460    	21.7306   
0.0000    	60.4235   	2098.5083 	15.8844   	0.1674    	5.9724    
0.0000    	40.9702   	1422.8948 	13.9548   	0.0484    	20.6541   
0.0000    	57.7036   	2004.0460 	15.6424   	0.1431    	6.9896    
0.0000    	24.9765   	867.4352  	11.8326   	0.0218    	45.8718   
0.0000    	33.8779   	1176.5808 	13.0981   	0.0274    	36.4574   
0.0000    	31.3594   	1089.1107 	12.7651   	0.0278    	35.9634   
0.0000    	45.1552   	1568.2390 	14.4147   	0.1896    	5.2732    
0.0000    	43.7671   	1520.0311 	14.2654   	0.0624    	16.0345   
