Conc_ugperml	FrequencyShift_Hz	Volume_um^3	DiameterV_um	PassageTime_s	Deformability_inverseSec
0.0000    	47.5804   	1630.5816 	14.6032   	0.0809    	12.3582   
0.0000    	24.5606   	841.6919  	11.7143   	0.0189    	52.8734   
0.0000    	40.1300   	1375.2556 	13.7973   	0.0401    	24.9457   
0.0000    	48.9436   	1677.2984 	14.7413   	0.0935    	10.6936   
0.0000    	80.0508   	2743.3424 	17.3684   	0.3533    	2.8307    
0.0000    	34.7952   	1192.4330 	13.1566   	0.0294    	34.0380   
0.0000    	76.0712   	2606.9603 	17.0757   	0.2661    	3.7574    
0.0000    	25.6981   	880.6728  	11.8925   	0.0228    	43.8926   
0.0000    	24.6394   	844.3924  	11.7269   	0.0206    	48.5500   
0.0000    	43.4111   	1487.6978 	14.1635   	0.0570    	17.5343   
0.0000    	30.5882   	1048.2569 	12.6035   	0.0238    	41.9902   
0.0000    	29.6129   	1014.8340 	12.4681   	0.0263    	38.0435   
0.0000    	28.3052   	970.0185  	12.2818   	0.0240    	41.5840   
0.0000    	40.6402   	1392.7407 	13.8556   	0.0511    	19.5845   
0.0000    	33.7690   	1157.2634 	13.0260   	0.0278    	36.0228   
0.0000    	41.5361   	1423.4406 	13.9566   	0.0472    	21.2052   
0.0000    	40.3453   	1382.6347 	13.8220   	0.0510    	19.5895   
0.0000    	85.7084   	2937.2278 	17.7683   	0.3010    	3.3219    
0.0000    	27.9309   	957.1926  	12.2274   	0.0228    	43.8547   
0.0000    	32.4111   	1110.7287 	12.8490   	0.0216    	46.3244   
0.0000    	40.0263   	1371.7004 	13.7854   	0.0433    	23.0973   
0.0000    	27.1132   	929.1688  	12.1069   	0.0221    	45.1524   
0.0000    	25.9729   	890.0902  	11.9347   	0.0245    	40.8767   
0.0000    	26.4267   	905.6422  	12.0038   	0.0231    	43.3502   
0.0000    	28.8897   	990.0497  	12.3657   	0.0332    	30.1328   
0.0000    	16.3191   	559.2557  	10.2220   	0.0579    	17.2665   
0.0000    	49.0850   	1682.1421 	14.7555   	0.0676    	14.7954   
0.0000    	36.3851   	1246.9171 	13.3540   	0.0386    	25.9093   
0.0000    	41.5541   	1424.0584 	13.9586   	0.0499    	20.0292   
0.0000    	42.6256   	1460.7800 	14.0776   	0.0473    	21.1435   
0.0000    	24.5661   	841.8814  	11.7152   	0.0203    	49.1441   
0.0000    	39.0313   	1337.6029 	13.6702   	0.0370    	27.0219   
0.0000    	28.8806   	989.7382  	12.3644   	0.0264    	37.8877   
0.0000    	24.9222   	854.0844  	11.7716   	0.0202    	49.4387   
0.0000    	37.4832   	1284.5497 	13.4871   	0.0351    	28.4794   
0.0000    	29.9094   	1024.9939 	12.5095   	0.0267    	37.4644   
0.0000    	26.6387   	912.9079  	12.0358   	0.0236    	42.3515   
0.0000    	12.4930   	428.1348  	9.3511    	0.0144    	69.5975   
0.0000    	29.3002   	1004.1192 	12.4240   	0.0281    	35.5569   
0.0000    	31.2437   	1070.7207 	12.6929   	0.0276    	36.1980   
0.0000    	21.4540   	735.2297  	11.1980   	0.0202    	49.5752   
0.0000    	39.5504   	1355.3929 	13.7306   	0.0473    	21.1420   
0.0000    	59.0380   	2023.2337 	15.6922   	0.1347    	7.4240    
0.0000    	52.0046   	1782.1965 	15.0425   	0.0406    	24.6355   
0.0000    	40.6375   	1392.6487 	13.8552   	0.0550    	18.1766   
0.0000    	36.3455   	1245.5606 	13.3492   	0.0394    	25.4088   
0.0000    	60.0140   	2056.6807 	15.7782   	0.1339    	7.4663    
0.0000    	23.5237   	806.1564  	11.5471   	0.0205    	48.7438   
0.0000    	30.1771   	1034.1693 	12.5467   	0.0233    	42.9838   
0.0000    	26.4461   	906.3095  	12.0068   	0.0211    	47.4258   
0.0000    	40.1525   	1376.0245 	13.7999   	0.0547    	18.2943   
0.0000    	63.7646   	2185.2114 	16.1002   	0.1005    	9.9548    
0.0000    	33.9810   	1164.5274 	13.0532   	0.0326    	30.6657   
0.0000    	37.3904   	1281.3689 	13.4759   	0.0339    	29.5264   
0.0000    	59.1527   	2027.1641 	15.7023   	0.1510    	6.6238    
0.0000    	16.6642   	571.0818  	10.2936   	0.0163    	61.5169   
0.0000    	34.5374   	1183.5959 	13.1241   	0.0348    	28.7585   
0.0000    	44.2552   	1516.6269 	14.2548   	0.0627    	15.9424   
0.0000    	35.8571   	1228.8239 	13.2891   	0.0297    	33.6181   
0.0000    	50.7538   	1739.3342 	14.9209   	0.0804    	12.4322   
0.0000    	36.6202   	1254.9740 	13.3828   	0.0308    	32.4838   
0.0000    	46.7038   	1600.5408 	14.5130   	0.0639    	15.6553   
0.0000    	33.0267   	1131.8248 	12.9299   	0.0285    	35.0949   
0.0000    	23.7878   	815.2088  	11.5902   	0.0182    	55.0677   
0.0000    	23.9824   	821.8762  	11.6217   	0.0193    	51.7263   
0.0000    	52.6484   	1804.2592 	15.1043   	0.1182    	8.4597    
0.0000    	40.9391   	1402.9821 	13.8894   	0.0314    	31.8798   
0.0000    	25.5561   	875.8073  	11.8705   	0.0209    	47.9399   
0.0000    	38.7572   	1328.2086 	13.6382   	0.0391    	25.5899   
0.0000    	111.9101  	3835.1606 	19.4206   	0.7565    	1.3219    
0.0000    	46.0881   	1579.4402 	14.4489   	0.0593    	16.8555   
0.0000    	3.9129    	134.0950  	6.3505    	0.0139    	71.6902   
0.0000    	26.8520   	920.2178  	12.0679   	0.0237    	42.1993   
0.0000    	29.0225   	994.6006  	12.3846   	0.0224    	44.6699   
0.0000    	39.2672   	1345.6881 	13.6977   	0.0558    	17.9341   
0.0000    	28.5591   	978.7210  	12.3184   	0.0253    	39.5522   
0.0000    	43.0193   	1474.2702 	14.1208   	0.0421    	23.7683   
0.0000    	44.7396   	1533.2275 	14.3066   	0.0662    	15.0992   
0.0000    	58.1785   	1993.7777 	15.6156   	0.1073    	9.3186    
0.0000    	49.1762   	1685.2685 	14.7647   	0.0639    	15.6385   
0.0000    	25.4297   	871.4770  	11.8509   	0.0220    	45.3672   
0.0000    	32.4127   	1110.7825 	12.8492   	0.0287    	34.8703   
0.0000    	27.8843   	955.5935  	12.2206   	0.0229    	43.6978   
0.0000    	37.0620   	1270.1140 	13.4364   	0.0333    	30.0438   
0.0000    	39.2147   	1343.8894 	13.6916   	0.0476    	21.0197   
0.0000    	29.1148   	997.7652  	12.3978   	0.0274    	36.5579   
0.0000    	47.3536   	1622.8070 	14.5800   	0.0632    	15.8225   
0.0000    	30.5148   	1045.7410 	12.5934   	0.0287    	34.8942   
0.0000    	36.3619   	1246.1207 	13.3512   	0.0361    	27.7340   
0.0000    	45.8319   	1570.6593 	14.4221   	0.0528    	18.9427   
0.0000    	26.6157   	912.1184  	12.0324   	0.0226    	44.3003   
0.0000    	39.4939   	1353.4574 	13.7240   	0.0385    	25.9533   
0.0000    	34.9787   	1198.7209 	13.1797   	0.0322    	31.0400   
0.0000    	34.8157   	1193.1340 	13.1592   	0.0414    	24.1616   
0.0000    	33.2075   	1138.0217 	12.9534   	0.0341    	29.3278   
0.0000    	38.7252   	1327.1122 	13.6344   	0.0420    	23.8333   
0.0000    	38.8134   	1330.1342 	13.6448   	0.0427    	23.3948   
0.0000    	30.0813   	1030.8851 	12.5334   	0.0225    	44.4487   
0.0000    	38.1057   	1305.8834 	13.5613   	0.0332    	30.0853   
0.0000    	3.0497    	104.5132  	5.8442    	0.0131    	76.3154   
0.0000    	12.9603   	444.1485  	9.4662    	0.0121    	82.5717   
0.0000    	32.4567   	1112.2895 	12.8550   	0.0281    	35.6067   
0.0000    	40.5799   	1390.6739 	13.8487   	0.0538    	18.6032   
0.0000    	28.9934   	993.6040  	12.3805   	0.0250    	40.0138   
0.0000    	26.5651   	910.3852  	12.0247   	0.0251    	39.8362   
0.0000    	27.0311   	926.3549  	12.0946   	0.0215    	46.4796   
0.0000    	39.5110   	1354.0429 	13.7260   	0.0424    	23.5846   
0.0000    	28.8162   	987.5304  	12.3552   	0.0251    	39.9196   
0.0000    	33.8716   	1160.7798 	13.0392   	0.0318    	31.4429   
0.0000    	51.6466   	1769.9295 	15.0079   	0.0842    	11.8726   
0.0000    	26.9228   	922.6454  	12.0785   	0.0249    	40.1190   
0.0000    	46.3489   	1588.3754 	14.4761   	0.0659    	15.1682   
0.0000    	25.3142   	867.5167  	11.8330   	0.0201    	49.7693   
0.0000    	54.9047   	1881.5846 	15.3170   	0.1204    	8.3059    
0.0000    	47.4282   	1625.3648 	14.5876   	0.0725    	13.7943   
0.0000    	24.7575   	848.4387  	11.7456   	0.0227    	44.1210   
0.0000    	27.4480   	940.6442  	12.1565   	0.0234    	42.6952   
0.0000    	35.5169   	1217.1641 	13.2470   	0.0274    	36.5272   
0.0000    	26.4586   	906.7355  	12.0086   	0.0201    	49.7855   
0.0000    	46.0329   	1577.5488 	14.4431   	0.0654    	15.2983   
0.0000    	40.4853   	1387.4324 	13.8379   	0.0473    	21.1318   
0.0000    	39.3505   	1348.5423 	13.7074   	0.0488    	20.4836   
0.0000    	38.3964   	1315.8445 	13.5957   	0.0401    	24.9232   
0.0000    	29.4048   	1007.7037 	12.4388   	0.0280    	35.7234   
0.0000    	31.0363   	1063.6125 	12.6647   	0.0239    	41.9268   
0.0000    	46.8770   	1606.4760 	14.5309   	0.0817    	12.2333   
0.0000    	51.3131   	1758.5008 	14.9755   	0.0731    	13.6726   
0.0000    	30.3129   	1038.8224 	12.5655   	0.0271    	36.8893   
0.0000    	34.0462   	1166.7641 	13.0616   	0.0346    	28.8946   
0.0000    	51.1246   	1752.0384 	14.9571   	0.0670    	14.9330   
0.0000    	28.3300   	970.8694  	12.2853   	0.0242    	41.3979   
0.0000    	28.2966   	969.7253  	12.2805   	0.0256    	39.0362   
0.0000    	40.0429   	1372.2699 	13.7873   	0.0443    	22.5495   
0.0000    	39.5483   	1355.3198 	13.7303   	0.0371    	26.9265   
0.0000    	41.5532   	1424.0265 	13.9585   	0.0378    	26.4665   
0.0000    	24.1322   	827.0093  	11.6458   	0.0184    	54.3227   
0.0000    	65.8920   	2258.1188 	16.2773   	0.1360    	7.3517    
0.0000    	28.5989   	980.0853  	12.3241   	0.0227    	44.0446   
0.0000    	50.1204   	1717.6270 	14.8586   	0.0876    	11.4113   
0.0000    	52.9795   	1815.6067 	15.1359   	0.0985    	10.1529   
0.0000    	29.0931   	997.0192  	12.3947   	0.0273    	36.6941   
0.0000    	29.9776   	1027.3334 	12.5190   	0.0244    	41.0471   
0.0000    	39.8390   	1365.2819 	13.7639   	0.0410    	24.3816   
0.0000    	34.7599   	1191.2223 	13.1522   	0.0353    	28.3392   
0.0000    	26.9084   	922.1494  	12.0763   	0.0224    	44.7092   
0.0000    	28.0176   	960.1643  	12.2400   	0.0210    	47.6331   
0.0000    	54.3803   	1863.6132 	15.2681   	0.1037    	9.6474    
0.0000    	27.5028   	942.5212  	12.1646   	0.0219    	45.7549   
0.0000    	55.5393   	1903.3319 	15.3758   	0.1056    	9.4696    
0.0000    	33.2135   	1138.2267 	12.9542   	0.0299    	33.4266   
0.0000    	30.6258   	1049.5445 	12.6086   	0.0270    	37.0191   
0.0000    	53.4204   	1830.7173 	15.1778   	0.1273    	7.8543    
0.0000    	45.9843   	1575.8829 	14.4380   	0.0705    	14.1828   
0.0000    	33.7815   	1157.6921 	13.0276   	0.0319    	31.3783   
0.0000    	37.2359   	1276.0733 	13.4573   	0.0352    	28.4396   
0.0000    	33.4852   	1147.5375 	12.9894   	0.0309    	32.3976   
0.0000    	43.2560   	1482.3822 	14.1467   	0.0496    	20.1602   
0.0000    	36.7474   	1259.3345 	13.3982   	0.0365    	27.3881   
0.0000    	43.9122   	1504.8727 	14.2178   	0.0504    	19.8224   
0.0000    	43.1404   	1478.4224 	14.1341   	0.0443    	22.5896   
0.0000    	58.0708   	1990.0874 	15.6060   	0.0719    	13.9075   
0.0000    	28.9388   	991.7333  	12.3727   	0.0262    	38.2007   
0.0000    	32.3029   	1107.0199 	12.8347   	0.0292    	34.1944   
0.0000    	28.9380   	991.7065  	12.3726   	0.0233    	43.0020   
0.0000    	35.9801   	1233.0369 	13.3043   	0.0349    	28.6666   
0.0000    	34.5195   	1182.9838 	13.1218   	0.0319    	31.3750   
0.0000    	46.0668   	1578.7081 	14.4467   	0.0737    	13.5692   
0.0000    	32.0629   	1098.7971 	12.8028   	0.0285    	35.0385   
0.0000    	4.7501    	162.7870  	6.7744    	0.0115    	87.1708   
0.0000    	37.5188   	1285.7692 	13.4913   	0.0397    	25.1699   
0.0000    	39.4142   	1350.7247 	13.7148   	0.0487    	20.5291   
0.0000    	32.0694   	1099.0182 	12.8037   	0.0269    	37.2222   
0.0000    	40.5018   	1387.9981 	13.8398   	0.0460    	21.7601   
0.0000    	31.8534   	1091.6170 	12.7749   	0.0307    	32.6018   
0.0000    	23.2615   	797.1721  	11.5041   	0.0194    	51.5254   
0.0000    	22.3363   	765.4653  	11.3495   	0.0196    	50.9406   
0.0000    	27.8060   	952.9102  	12.2091   	0.0225    	44.4682   
