Conc_ugperml	FrequencyShift_Hz	Volume_um^3	DiameterV_um	PassageTime_s	Deformability_inverseSec
0.0000    	5.0211    	182.0636  	7.0319    	0.0151    	66.1146   
0.0000    	51.9313   	1883.0284 	15.3210   	0.1013    	9.8708    
0.0000    	21.9793   	796.9686  	11.5031   	0.0202    	49.5672   
0.0000    	34.3571   	1245.7893 	13.3500   	0.0314    	31.8133   
0.0000    	30.6167   	1110.1611 	12.8468   	0.0284    	35.2448   
0.0000    	22.4031   	812.3381  	11.5766   	0.0201    	49.8587   
0.0000    	48.2948   	1751.1683 	14.9547   	0.0851    	11.7451   
0.0000    	26.9188   	976.0768  	12.3073   	0.0238    	41.9787   
0.0000    	31.7126   	1149.9001 	12.9983   	0.0297    	33.6998   
0.0000    	28.6906   	1040.3212 	12.5716   	0.0233    	42.9053   
0.0000    	30.9337   	1121.6557 	12.8910   	0.0343    	29.1402   
0.0000    	34.2540   	1242.0505 	13.3367   	0.0318    	31.4365   
0.0000    	43.9547   	1593.7975 	14.4926   	0.0586    	17.0609   
0.0000    	28.8565   	1046.3369 	12.5958   	0.0272    	36.8003   
0.0000    	28.6095   	1037.3804 	12.5597   	0.0263    	38.0910   
0.0000    	55.4641   	2011.1265 	15.6608   	0.1167    	8.5702    
0.0000    	37.1978   	1348.7933 	13.7083   	0.0413    	24.2191   
0.0000    	28.3620   	1028.4072 	12.5234   	0.0249    	40.0821   
0.0000    	36.1839   	1312.0287 	13.5826   	0.0370    	27.0458   
0.0000    	31.7736   	1152.1095 	13.0066   	0.0235    	42.5998   
0.0000    	35.2072   	1276.6131 	13.4592   	0.0326    	30.6811   
0.0000    	42.4782   	1540.2605 	14.3284   	0.0506    	19.7569   
0.0000    	29.6577   	1075.3880 	12.7113   	0.0286    	34.9742   
0.0000    	44.1065   	1599.3010 	14.5092   	0.0420    	23.8110   
0.0000    	25.4600   	923.1804  	12.0808   	0.0229    	43.6290   
0.0000    	32.6802   	1184.9842 	13.1292   	0.0285    	35.1353   
0.0000    	27.3288   	990.9415  	12.3694   	0.0231    	43.3194   
0.0000    	52.9626   	1920.4234 	15.4217   	0.1324    	7.5502    
0.0000    	29.6091   	1073.6244 	12.7043   	0.0248    	40.3097   
0.0000    	41.6411   	1509.9057 	14.2337   	0.1473    	6.7887    
