Conc_ugperml	FrequencyShift_Hz	Volume_um^3	DiameterV_um	PassageTime_s	Deformability_inverseSec
0.0000    	28.1240   	951.7157  	12.2040   	0.0245    	40.7892   
0.0000    	69.5120   	2352.2850 	16.5005   	0.1606    	6.2273    
0.0000    	22.1760   	750.4353  	11.2747   	0.0199    	50.1619   
0.0000    	23.8270   	806.3054  	11.5478   	0.0226    	44.2746   
0.0000    	58.8056   	1989.9804 	15.6057   	0.1259    	7.9448    
0.0000    	19.6234   	664.0544  	10.8243   	0.0180    	55.5084   
0.0000    	41.3864   	1400.5161 	13.8813   	0.0617    	16.1996   
0.0000    	37.4137   	1266.0798 	13.4221   	0.0362    	27.5886   
0.0000    	35.1763   	1190.3661 	13.1490   	0.0289    	34.6250   
0.0000    	43.7334   	1479.9373 	14.1389   	0.0491    	20.3511   
0.0000    	47.6877   	1613.7515 	14.5528   	0.0704    	14.2132   
0.0000    	46.3147   	1567.2889 	14.4118   	0.0717    	13.9545   
0.0000    	45.6473   	1544.7054 	14.3422   	0.0625    	15.9967   
0.0000    	26.4031   	893.4817  	11.9498   	0.0207    	48.2354   
0.0000    	27.6274   	934.9103  	12.1318   	0.0232    	43.0627   
0.0000    	56.0821   	1897.8190 	15.3610   	0.0950    	10.5229   
0.0000    	9.4512    	319.8273  	8.4847    	0.0118    	84.9388   
0.0000    	51.7024   	1749.6076 	14.9502   	0.1030    	9.7088    
0.0000    	36.9306   	1249.7312 	13.3641   	0.0345    	29.0127   
0.0000    	42.7527   	1446.7504 	14.0324   	0.0452    	22.1101   
0.0000    	37.2446   	1260.3572 	13.4019   	0.0407    	24.5839   
0.0000    	37.3204   	1262.9207 	13.4109   	0.0433    	23.1008   
0.0000    	26.8359   	908.1268  	12.0148   	0.0232    	43.0687   
0.0000    	24.4376   	826.9678  	11.6456   	0.0201    	49.6397   
0.0000    	25.8346   	874.2424  	11.8635   	0.0209    	47.9549   
0.0000    	29.6668   	1003.9243 	12.4232   	0.0243    	41.1967   
0.0000    	55.5456   	1879.6646 	15.3118   	0.1038    	9.6300    
0.0000    	32.9831   	1116.1486 	12.8699   	0.0340    	29.4154   
0.0000    	48.2208   	1631.7910 	14.6068   	0.0837    	11.9404   
0.0000    	42.5568   	1440.1213 	14.0109   	0.0341    	29.3222   
0.0000    	29.7088   	1005.3457 	12.4291   	0.0224    	44.6242   
0.0000    	46.2203   	1564.0958 	14.4020   	0.0777    	12.8656   
0.0000    	37.9052   	1282.7115 	13.4806   	0.0403    	24.8178   
0.0000    	44.5439   	1507.3665 	14.2257   	0.0550    	18.1723   
0.0000    	35.1757   	1190.3447 	13.1490   	0.0385    	25.9445   
0.0000    	41.0947   	1390.6449 	13.8486   	0.0377    	26.4964   
0.0000    	35.5964   	1204.5821 	13.2012   	0.0318    	31.4300   
0.0000    	27.2474   	922.0535  	12.0759   	0.0232    	43.1845   
0.0000    	51.9953   	1759.5225 	14.9784   	0.1171    	8.5424    
0.0000    	41.3778   	1400.2262 	13.8803   	0.0504    	19.8546   
0.0000    	25.7417   	871.1000  	11.8492   	0.0175    	57.1401   
0.0000    	25.9015   	876.5054  	11.8737   	0.0220    	45.4754   
0.0000    	50.3962   	1705.4086 	14.8232   	0.0855    	11.6929   
0.0000    	37.5377   	1270.2771 	13.4369   	0.0352    	28.4290   
0.0000    	24.4961   	828.9492  	11.6549   	0.0180    	55.5185   
0.0000    	10.3731   	351.0274  	8.7521    	0.0114    	87.5208   
0.0000    	39.2446   	1328.0357 	13.6376   	0.0437    	22.8963   
0.0000    	26.3344   	891.1576  	11.9395   	0.0208    	48.0758   
0.0000    	45.7386   	1547.7930 	14.3517   	0.0671    	14.9089   
0.0000    	34.9513   	1182.7508 	13.1209   	0.0315    	31.7207   
0.0000    	39.8408   	1348.2135 	13.7063   	0.0384    	26.0731   
0.0000    	31.9921   	1082.6123 	12.7397   	0.0267    	37.3910   
0.0000    	23.3168   	789.0389  	11.4648   	0.0193    	51.8141   
0.0000    	53.1148   	1797.4040 	15.0851   	0.0996    	10.0446   
0.0000    	42.8026   	1448.4395 	14.0378   	0.0458    	21.8364   
0.0000    	26.5032   	896.8688  	11.9649   	0.0198    	50.5692   
0.0000    	22.0493   	746.1496  	11.2532   	0.0188    	53.1311   
0.0000    	39.0028   	1319.8564 	13.6095   	0.0369    	27.1059   
0.0000    	28.1035   	951.0220  	12.2011   	0.0228    	43.9431   
0.0000    	38.3407   	1297.4482 	13.5321   	0.0369    	27.1203   
0.0000    	38.3205   	1296.7663 	13.5297   	0.0414    	24.1291   
0.0000    	30.5344   	1033.2831 	12.5432   	0.0276    	36.1722   
0.0000    	23.0104   	778.6722  	11.4144   	0.0161    	62.0926   
0.0000    	23.0984   	781.6505  	11.4289   	0.0187    	53.4475   
0.0000    	20.8321   	704.9587  	11.0422   	0.0169    	59.2592   
0.0000    	38.0382   	1287.2113 	13.4964   	0.0389    	25.6976   
0.0000    	31.5993   	1069.3197 	12.6873   	0.0286    	34.9903   
0.0000    	27.0964   	916.9438  	12.0535   	0.0247    	40.5023   
0.0000    	50.9746   	1724.9801 	14.8797   	0.0848    	11.7859   
0.0000    	28.5891   	967.4562  	12.2709   	0.0245    	40.8876   
0.0000    	56.0362   	1896.2641 	15.3568   	0.3451    	2.8978    
0.0000    	35.4759   	1200.5038 	13.1863   	0.0288    	34.7750   
0.0000    	31.2859   	1058.7149 	12.6452   	0.0271    	36.9608   
0.0000    	39.3587   	1331.8971 	13.6508   	0.0401    	24.9497   
0.0000    	32.7805   	1109.2929 	12.8435   	0.0301    	33.1976   
0.0000    	33.0962   	1119.9751 	12.8846   	0.0277    	36.0867   
0.0000    	54.6567   	1849.5833 	15.2297   	0.1276    	7.8377    
0.0000    	25.0970   	849.2830  	11.7495   	0.0227    	44.1465   
0.0000    	41.7421   	1412.5530 	13.9209   	0.0485    	20.6150   
0.0000    	45.0682   	1525.1092 	14.2813   	0.0716    	13.9679   
0.0000    	32.7645   	1108.7507 	12.8414   	0.0357    	28.0424   
0.0000    	17.1350   	579.8499  	10.3460   	0.0169    	59.0072   
0.0000    	22.0234   	745.2722  	11.2488   	0.0209    	47.9399   
0.0000    	40.1243   	1357.8063 	13.7387   	0.0393    	25.4321   
0.0000    	36.6760   	1241.1175 	13.3333   	0.0429    	23.2859   
0.0000    	40.2848   	1363.2362 	13.7570   	0.0485    	20.6373   
0.0000    	87.1864   	2950.3878 	17.7948   	0.3611    	2.7696    
0.0000    	25.5131   	863.3621  	11.8140   	0.0218    	45.7823   
0.0000    	13.9742   	472.8857  	9.6661    	0.0168    	59.6065   
0.0000    	34.4242   	1164.9162 	13.0547   	0.0255    	39.1564   
0.0000    	41.7039   	1411.2592 	13.9167   	0.0479    	20.8759   
0.0000    	36.1072   	1221.8678 	13.2640   	0.0349    	28.6397   
0.0000    	51.3304   	1737.0218 	14.9143   	0.1173    	8.5264    
0.0000    	52.0184   	1760.3023 	14.9806   	0.0495    	20.1976   
0.0000    	22.5122   	761.8133  	11.3314   	0.0211    	47.3890   
0.0000    	35.0220   	1185.1431 	13.1298   	0.0331    	30.1715   
0.0000    	12.9695   	438.8895  	9.4287    	0.0167    	59.9578   
0.0000    	40.9739   	1386.5576 	13.8350   	0.0475    	21.0400   
0.0000    	32.4507   	1098.1323 	12.8003   	0.0233    	42.9234   
0.0000    	27.7340   	938.5169  	12.1473   	0.0226    	44.2875   
0.0000    	34.3399   	1162.0627 	13.0440   	0.0427    	23.4361   
0.0000    	31.7795   	1075.4175 	12.7114   	0.0274    	36.4749   
0.0000    	45.1631   	1528.3194 	14.2913   	0.0534    	18.7092   
0.0000    	19.1409   	647.7288  	10.7349   	0.0175    	57.1936   
0.0000    	28.2989   	957.6361  	12.2293   	0.0224    	44.5526   
0.0000    	43.9255   	1486.4405 	14.1596   	0.0600    	16.6740   
0.0000    	26.2747   	889.1369  	11.9304   	0.0200    	50.1043   
0.0000    	33.3701   	1129.2433 	12.9200   	0.0239    	41.8176   
0.0000    	36.9430   	1250.1499 	13.3656   	0.0395    	25.2909   
0.0000    	10.9080   	369.1269  	8.9000    	0.0123    	81.4913   
0.0000    	37.7012   	1275.8077 	13.4564   	0.0401    	24.9212   
0.0000    	22.1091   	748.1722  	11.2634   	0.0263    	37.9631   
0.0000    	52.8576   	1788.6997 	15.0607   	0.0629    	15.8917   
0.0000    	32.7770   	1109.1724 	12.8430   	0.0262    	38.0958   
0.0000    	34.8049   	1177.7977 	13.1026   	0.0369    	27.0963   
0.0000    	38.3950   	1299.2867 	13.5384   	0.0405    	24.7093   
0.0000    	28.2730   	956.7585  	12.2255   	0.0218    	45.9063   
0.0000    	37.2561   	1260.7449 	13.4032   	0.0350    	28.5888   
0.0000    	36.8716   	1247.7358 	13.3570   	0.0384    	26.0486   
0.0000    	53.6959   	1817.0682 	15.1399   	0.0966    	10.3544   
0.0000    	78.2174   	2646.8756 	17.1624   	0.5478    	1.8256    
0.0000    	47.4382   	1605.3093 	14.5274   	0.0659    	15.1796   
0.0000    	42.4078   	1435.0808 	13.9946   	0.0463    	21.6091   
0.0000    	29.7980   	1008.3628 	12.4415   	0.0260    	38.3929   
0.0000    	30.0976   	1018.5036 	12.4831   	0.0250    	40.0453   
0.0000    	42.7484   	1446.6052 	14.0319   	0.0517    	19.3584   
0.0000    	10.1083   	342.0634  	8.6770    	0.0292    	34.2751   
