Conc_ugperml	FrequencyShift_Hz	Volume_um^3	DiameterV_um	PassageTime_s	Deformability_inverseSec
0.0000    	25.1214   	868.6978  	11.8383   	0.0211    	47.4775   
0.0000    	30.5024   	1054.7720 	12.6295   	0.0253    	39.4500   
0.0000    	24.7115   	854.5235  	11.7736   	0.0191    	52.3025   
0.0000    	23.2963   	805.5859  	11.5444   	0.0228    	43.8358   
0.0000    	49.6565   	1717.1211 	14.8571   	0.1813    	5.5164    
0.0000    	24.8613   	859.7028  	11.7973   	0.0196    	51.0514   
0.0000    	27.1250   	937.9833  	12.1450   	0.0256    	39.1263   
0.0000    	32.6074   	1127.5636 	12.9136   	0.0262    	38.1768   
0.0000    	40.9519   	1416.1164 	13.9326   	0.0498    	20.0687   
0.0000    	29.6079   	1023.8409 	12.5048   	0.0249    	40.1507   
0.0000    	27.4810   	950.2934  	12.1979   	0.0239    	41.8119   
0.0000    	34.4273   	1190.4955 	13.1495   	0.0393    	25.4300   
0.0000    	24.8745   	860.1619  	11.7994   	0.0172    	58.0752   
0.0000    	24.8748   	860.1720  	11.7995   	0.0204    	48.9471   
0.0000    	40.3925   	1396.7743 	13.8689   	0.0506    	19.7467   
0.0000    	51.1449   	1768.5911 	15.0041   	0.0763    	13.1093   
0.0000    	34.4453   	1191.1181 	13.1518   	0.0423    	23.6376   
0.0000    	48.4266   	1674.5907 	14.7334   	0.0641    	15.5993   
0.0000    	32.3419   	1118.3836 	12.8785   	0.0268    	37.3133   
0.0000    	25.3847   	877.8026  	11.8795   	0.0230    	43.4675   
0.0000    	32.5729   	1126.3714 	12.9091   	0.0282    	35.4949   
0.0000    	109.1903  	3775.8008 	19.3198   	0.4696    	2.1294    
0.0000    	27.7453   	959.4322  	12.2369   	0.0273    	36.6149   
0.0000    	25.1110   	868.3385  	11.8367   	0.0193    	51.7263   
0.0000    	29.9093   	1034.2629 	12.5471   	0.0264    	37.8548   
0.0000    	47.4979   	1642.4761 	14.6386   	0.0725    	13.8012   
0.0000    	26.4967   	916.2563  	12.0505   	0.0206    	48.5886   
0.0000    	31.1161   	1075.9962 	12.7137   	0.0256    	38.9963   
0.0000    	52.8657   	1828.0972 	15.1705   	0.3278    	3.0506    
0.0000    	32.0030   	1106.6641 	12.8333   	0.0268    	37.3361   
0.0000    	21.9683   	759.6631  	11.3207   	0.0211    	47.2862   
0.0000    	31.8962   	1102.9706 	12.8190   	0.0270    	37.0011   
0.0000    	35.8555   	1239.8844 	13.3289   	0.0340    	29.3956   
0.0000    	29.1666   	1008.5816 	12.4424   	0.0253    	39.4857   
0.0000    	35.2260   	1218.1152 	13.2504   	0.0314    	31.8465   
0.0000    	28.0437   	969.7500  	12.2806   	0.0234    	42.7730   
0.0000    	50.6261   	1750.6497 	14.9532   	0.0728    	13.7304   
0.0000    	29.0225   	1003.5986 	12.4219   	0.0271    	36.9116   
0.0000    	53.5289   	1851.0310 	15.2337   	0.1610    	6.2110    
0.0000    	33.0262   	1142.0466 	12.9687   	0.0300    	33.3572   
0.0000    	32.2643   	1115.6999 	12.8682   	0.0264    	37.9206   
0.0000    	36.1863   	1251.3213 	13.3698   	0.0329    	30.3606   
0.0000    	43.6345   	1508.8794 	14.2305   	0.0524    	19.0848   
0.0000    	43.6661   	1509.9726 	14.2339   	0.0592    	16.8984   
0.0000    	21.1780   	732.3355  	11.1833   	0.0187    	53.3914   
0.0000    	37.1700   	1285.3372 	13.4898   	0.0382    	26.1804   
0.0000    	8.3334    	288.1695  	8.1950    	0.0145    	69.1716   
0.0000    	30.6928   	1061.3568 	12.6557   	0.0252    	39.6087   
0.0000    	26.7747   	925.8702  	12.0925   	0.0213    	46.9299   
0.0000    	52.0157   	1798.7021 	15.0888   	0.0425    	23.5210   
0.0000    	44.8921   	1552.3695 	14.3659   	0.0498    	20.0833   
0.0000    	31.7320   	1097.2909 	12.7970   	0.0262    	38.0958   
0.0000    	22.5323   	779.1685  	11.4168   	0.0175    	57.2687   
0.0000    	33.3697   	1153.9251 	13.0135   	0.0302    	33.1039   
0.0000    	45.1507   	1561.3110 	14.3934   	0.1025    	9.7556    
0.0000    	36.8285   	1273.5298 	13.4484   	0.0354    	28.2631   
0.0000    	34.3011   	1186.1327 	13.1334   	0.0307    	32.5844   
0.0000    	29.3001   	1013.1971 	12.4614   	0.0261    	38.2677   
0.0000    	38.2008   	1320.9834 	13.6134   	0.0418    	23.9342   
0.0000    	38.4894   	1330.9628 	13.6476   	0.0371    	26.9717   
0.0000    	25.0531   	866.3352  	11.8276   	0.0202    	49.4307   
0.0000    	39.2817   	1358.3609 	13.7406   	0.0542    	18.4368   
0.0000    	31.8786   	1102.3613 	12.8167   	0.0296    	33.7482   
0.0000    	34.8672   	1205.7073 	13.2053   	0.0306    	32.6786   
0.0000    	103.6627  	3584.6576 	18.9882   	4.4552    	0.2245    
0.0000    	23.4076   	809.4343  	11.5627   	0.0205    	48.7906   
0.0000    	35.7900   	1237.6183 	13.3208   	0.0360    	27.7491   
0.0000    	35.3905   	1223.8049 	13.2710   	0.0364    	27.4991   
0.0000    	35.0162   	1210.8592 	13.2241   	0.0283    	35.3838   
0.0000    	42.1671   	1458.1394 	14.0691   	0.0465    	21.5055   
0.0000    	18.8912   	653.2580  	10.7654   	0.0177    	56.5053   
0.0000    	21.9241   	758.1368  	11.3131   	0.0187    	53.4381   
0.0000    	32.6014   	1127.3557 	12.9128   	0.0295    	33.9132   
0.0000    	27.2167   	941.1531  	12.1587   	0.0257    	38.9863   
0.0000    	32.8836   	1137.1140 	12.9500   	0.0272    	36.8048   
0.0000    	26.4615   	915.0373  	12.0452   	0.0203    	49.2870   
0.0000    	26.5460   	917.9601  	12.0580   	0.0203    	49.2711   
0.0000    	34.4423   	1191.0155 	13.1514   	0.0316    	31.5992   
0.0000    	26.1777   	905.2254  	12.0020   	0.0214    	46.6858   
0.0000    	27.8234   	962.1319  	12.2484   	0.0219    	45.6932   
0.0000    	52.2074   	1805.3316 	15.1073   	0.0747    	13.3935   
0.0000    	24.6673   	852.9951  	11.7666   	0.0209    	47.9022   
0.0000    	25.2976   	874.7925  	11.8659   	0.0231    	43.3009   
0.0000    	13.6763   	472.9277  	9.6664    	0.1040    	9.6118    
0.0000    	27.5873   	953.9704  	12.2136   	0.0249    	40.1612   
0.0000    	31.2308   	1079.9600 	12.7293   	0.0242    	41.2803   
0.0000    	38.3901   	1327.5285 	13.6358   	0.0393    	25.4257   
0.0000    	38.9949   	1348.4448 	13.7071   	0.0401    	24.9477   
0.0000    	42.6450   	1474.6634 	14.1221   	0.0464    	21.5496   
0.0000    	34.2903   	1185.7586 	13.1321   	0.0328    	30.4454   
0.0000    	27.9218   	965.5369  	12.2628   	0.0235    	42.6296   
0.0000    	26.7725   	925.7947  	12.0922   	0.0220    	45.3942   
0.0000    	25.2940   	874.6665  	11.8654   	0.0208    	48.1061   
0.0000    	33.4975   	1158.3439 	13.0301   	0.0343    	29.1235   
0.0000    	33.0708   	1143.5900 	12.9745   	0.0298    	33.5626   
0.0000    	29.2710   	1012.1924 	12.4572   	0.0254    	39.3432   
0.0000    	29.3388   	1014.5369 	12.4668   	0.0239    	41.9095   
0.0000    	36.8198   	1273.2289 	13.4473   	0.0334    	29.9789   
0.0000    	24.5361   	848.4597  	11.7457   	0.0210    	47.7001   
0.0000    	31.5447   	1090.8167 	12.7718   	0.0269    	37.1317   
0.0000    	43.6935   	1510.9199 	14.2369   	0.0585    	17.1049   
0.0000    	44.5400   	1540.1948 	14.3282   	0.0701    	14.2590   
0.0000    	36.3052   	1255.4326 	13.3844   	0.0372    	26.8743   
0.0000    	41.6651   	1440.7808 	14.0131   	0.0487    	20.5304   
0.0000    	24.1747   	835.9616  	11.6877   	0.0202    	49.5511   
0.0000    	27.9432   	966.2749  	12.2659   	0.0265    	37.6958   
0.0000    	22.1597   	766.2829  	11.3535   	0.0171    	58.4086   
0.0000    	27.2966   	943.9153  	12.1706   	0.0218    	45.8030   
