"Coef","Method","2.5%","97.5%"
"Slope:(Intercept)","SMR",-14.1320301746492,5.17904430922788
"Lower:(Intercept)","SMR",0.973644080354039,1.09634252613616
"Upper:(Intercept)","SMR",1.38410385645682,1.53811819749332
"ED50:(Intercept)","SMR",6.82850732476303,17.0097315144038
"Slope:(Intercept)","RTDC",-3.19880895136667,-0.939421390172626
"Lower:(Intercept)","RTDC",0.945489156506487,1.05234815072601
"Upper:(Intercept)","RTDC",1.43750254616841,1.6017722180411
"ED50:(Intercept)","RTDC",9.62218872092158,20.071594380306
"Slope:(Intercept)","DC",-72.5749195397234,89.9939012108896
"Lower:(Intercept)","DC",0.536445113183356,1.3782428668348
"Upper:(Intercept)","DC",1.00128838958265,1.05591427126155
"ED50:(Intercept)","DC",-273.577297555206,430.050487165463
